Parry Sound, (49005) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Parry Sound (49005)
Address,7 Bay St.
Latitude,45.338261
Longitude,-80.039269
Elevation, 176 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
49005,Fine Particulate Matter,2020-01-01,2,2,2,2,1,1,0,0,0,0,0,1,1,1,1,1,1,2,3,4,7,7,5,6,
49005,Fine Particulate Matter,2020-01-02,10,11,11,10,10,9,8,7,6,6,4,3,3,3,3,3,3,3,3,4,4,5,6,6,
49005,Fine Particulate Matter,2020-01-03,8,10,10,10,9,9,7,6,6,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,
49005,Fine Particulate Matter,2020-01-04,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,
49005,Fine Particulate Matter,2020-01-05,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,
49005,Fine Particulate Matter,2020-01-06,1,2,2,3,3,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,
49005,Fine Particulate Matter,2020-01-07,0,0,0,0,0,1,2,2,1,1,1,2,3,3,5,6,3,3,4,3,1,2,1,1,
49005,Fine Particulate Matter,2020-01-08,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,
49005,Fine Particulate Matter,2020-01-09,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,
49005,Fine Particulate Matter,2020-01-10,2,3,3,4,4,4,5,5,6,7,9,11,14,16,16,17,19,21,22,20,19,19,21,18,
49005,Fine Particulate Matter,2020-01-11,14,16,17,12,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
49005,Fine Particulate Matter,2020-01-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,3,3,2,
49005,Fine Particulate Matter,2020-01-13,3,2,2,2,1,2,3,5,6,6,5,5,4,5,5,5,8,12,9,7,5,5,7,11,
49005,Fine Particulate Matter,2020-01-14,8,7,5,4,4,3,2,2,3,2,2,4,5,5,6,6,5,6,6,7,8,10,11,9,
49005,Fine Particulate Matter,2020-01-15,6,3,2,2,2,2,2,2,4,6,5,5,4,4,5,3,3,5,5,6,7,9,4,4,
49005,Fine Particulate Matter,2020-01-16,4,4,5,4,4,3,1,1,1,2,2,2,2,2,3,3,3,2,2,2,2,3,3,3,
49005,Fine Particulate Matter,2020-01-17,4,3,4,3,2,2,3,6,15,6,3,1,2,2,3,3,5,6,10,20,9,5,4,3,
49005,Fine Particulate Matter,2020-01-18,3,5,5,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,
49005,Fine Particulate Matter,2020-01-19,3,4,6,7,5,3,3,2,1,1,1,1,1,1,1,1,1,1,3,2,2,1,3,2,
49005,Fine Particulate Matter,2020-01-20,1,3,1,2,2,3,15,7,10,8,8,2,1,0,0,0,0,0,1,6,18,9,8,11,
49005,Fine Particulate Matter,2020-01-21,14,9,7,7,5,3,4,3,2,9999,9999,9999,9999,9999,1,1,2,2,3,4,6,8,8,8,
49005,Fine Particulate Matter,2020-01-22,6,5,5,6,6,5,7,9,13,14,14,14,15,14,12,10,11,10,9,10,9,10,11,12,
49005,Fine Particulate Matter,2020-01-23,14,15,16,16,15,14,11,11,11,11,12,13,12,12,12,13,12,14,15,19,16,11,12,12,
49005,Fine Particulate Matter,2020-01-24,12,11,11,9,10,8,9,10,9,10,8,6,5,4,4,3,3,3,4,5,6,8,8,7,
49005,Fine Particulate Matter,2020-01-25,5,5,5,5,5,6,5,4,5,5,4,3,2,2,2,3,3,3,3,2,4,4,4,6,
49005,Fine Particulate Matter,2020-01-26,8,8,7,11,13,10,4,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,
49005,Fine Particulate Matter,2020-01-27,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,
49005,Fine Particulate Matter,2020-01-28,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
49005,Fine Particulate Matter,2020-01-29,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,5,14,14,6,4,4,
49005,Fine Particulate Matter,2020-01-30,6,2,1,2,1,1,1,1,1,1,1,2,2,2,3,5,5,6,12,22,18,7,6,3,
49005,Fine Particulate Matter,2020-01-31,5,4,4,5,5,5,6,6,8,9,11,10,10,10,10,11,13,14,13,13,12,14,15,18,
49005,Fine Particulate Matter,2020-02-01,18,14,17,19,18,16,18,19,19,18,19,18,17,20,22,21,20,19,18,16,14,12,12,13,
49005,Fine Particulate Matter,2020-02-02,14,14,9,13,12,9,8,8,8,9,9,7,7,8,8,7,6,7,10,10,9,11,9,10,
49005,Fine Particulate Matter,2020-02-03,9,8,8,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,4,3,
49005,Fine Particulate Matter,2020-02-04,5,7,7,7,9,7,6,1,0,1,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,
49005,Fine Particulate Matter,2020-02-05,0,0,0,0,0,0,1,2,7,16,12,1,1,0,0,0,0,0,1,0,1,1,2,2,
49005,Fine Particulate Matter,2020-02-06,2,1,1,1,1,13,3,4,2,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,
49005,Fine Particulate Matter,2020-02-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,2,2,
49005,Fine Particulate Matter,2020-02-08,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,4,3,13,14,9,5,4,
49005,Fine Particulate Matter,2020-02-09,4,3,3,3,4,4,4,4,5,5,5,6,7,8,11,12,11,10,12,14,15,16,16,17,
49005,Fine Particulate Matter,2020-02-10,15,15,13,12,10,10,9,9,6,10,9,7,5,5,5,4,8,9,7,6,5,5,6,4,
49005,Fine Particulate Matter,2020-02-11,3,2,2,2,2,2,3,5,5,6,6,7,9,10,13,13,13,11,10,8,5,5,3,2,
49005,Fine Particulate Matter,2020-02-12,1,2,3,3,3,4,6,6,8,9,9,8,8,8,8,11,14,16,17,15,14,14,14,15,
49005,Fine Particulate Matter,2020-02-13,15,13,11,4,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,3,3,4,2,
49005,Fine Particulate Matter,2020-02-14,4,3,4,4,7,4,5,7,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,
