Dorset, (49010) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Dorset (49010)
Address,1026 Bellwood Acres Rd.
Latitude,45.224278
Longitude,-78.932944
Elevation, 318 metres
Air intake height,3 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
49010,Fine Particulate Matter,2020-01-01,4,4,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,6,
49010,Fine Particulate Matter,2020-01-02,8,9,8,8,10,9,8,8,10,10,6,4,3,3,3,3,4,4,4,4,5,5,5,5,
49010,Fine Particulate Matter,2020-01-03,7,9,11,10,11,11,11,10,9,9,8,8,4,2,1,1,2,2,2,2,2,2,2,2,
49010,Fine Particulate Matter,2020-01-04,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,2,2,2,2,2,2,2,
49010,Fine Particulate Matter,2020-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,2,2,2,3,
49010,Fine Particulate Matter,2020-01-06,2,2,5,3,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,
49010,Fine Particulate Matter,2020-01-07,1,1,1,1,1,1,1,1,3,8,3,1,2,3,4,4,6,8,8,10,11,10,9,3,
49010,Fine Particulate Matter,2020-01-08,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,
49010,Fine Particulate Matter,2020-01-09,4,3,2,2,2,2,2,3,4,2,2,2,1,1,1,2,3,4,4,4,4,4,4,4,
49010,Fine Particulate Matter,2020-01-10,3,3,3,3,4,4,4,4,6,7,8,11,12,13,12,10,8,6,5,5,5,4,3,4,
49010,Fine Particulate Matter,2020-01-11,6,5,5,4,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,1,
49010,Fine Particulate Matter,2020-01-12,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,5,6,4,3,
