Ottawa Downtown, (51001) Hourly, Carbon monoxide (CO) Concentrations
Station,Ottawa Downtown (51001)
Address,Rideau St./Wurtemburg St.
Latitude,45.434333
Longitude,-75.676
Elevation, 68 metres
Air intake height,4 metres
Pollutant,Carbon Monoxide (carbon monoxide CO)
Unit, parts per million (ppm)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
51001,Carbon Monoxide,2020-01-01,0.2,0.18,0.18,0.16,0.15,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.21,0.18,0.18,0.2,0.19,0.17,0.15,0.14,0.14,0.15,0.14,0.16,
51001,Carbon Monoxide,2020-01-02,0.15,0.14,0.15,0.16,0.16,0.19,0.23,0.27,0.25,0.29,0.27,0.29,0.29,0.26,0.22,0.22,0.23,0.25,0.23,0.21,0.19,0.21,0.19,0.18,
51001,Carbon Monoxide,2020-01-03,0.19,0.18,0.21,0.18,0.17,0.19,0.21,0.22,0.22,0.24,0.24,0.24,0.22,0.23,0.22,0.23,0.23,0.3,0.29,0.21,0.21,0.2,0.24,0.23,
51001,Carbon Monoxide,2020-01-04,0.21,0.2,0.19,0.18,0.15,0.15,0.14,0.14,0.15,0.17,0.17,0.18,0.16,0.16,0.19,0.2,0.2,0.19,0.17,0.2,0.15,0.15,0.15,0.18,
51001,Carbon Monoxide,2020-01-05,0.16,0.15,0.14,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.15,0.18,0.17,0.18,0.19,0.18,0.2,0.29,0.32,0.35,
51001,Carbon Monoxide,2020-01-06,0.26,0.14,0.13,0.13,0.12,0.13,0.14,0.16,0.17,0.17,0.15,0.18,0.17,0.18,0.21,0.25,0.24,0.4,0.31,0.28,0.29,0.25,0.27,0.22,
51001,Carbon Monoxide,2020-01-07,0.17,0.15,0.13,0.12,0.12,0.15,0.13,0.15,0.27,0.31,0.24,0.2,0.17,0.16,0.16,0.2,0.28,0.38,0.32,0.28,0.27,0.25,0.21,0.23,
51001,Carbon Monoxide,2020-01-08,0.22,0.19,0.2,0.19,0.19,0.19,0.22,0.33,0.32,0.19,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.11,
51001,Carbon Monoxide,2020-01-09,0.11,0.11,0.1,0.11,0.11,0.14,0.15,0.21,0.2,0.17,0.17,0.21,0.22,0.18,0.16,0.18,0.2,0.23,0.2,0.17,0.17,0.17,0.18,0.19,
51001,Carbon Monoxide,2020-01-10,0.19,0.21,0.22,0.21,0.19,0.2,0.24,0.25,0.3,0.36,0.36,0.42,0.47,0.49,0.35,0.32,0.29,0.3,0.29,0.29,0.28,0.29,0.33,0.28,
51001,Carbon Monoxide,2020-01-11,0.3,0.29,0.29,0.28,0.24,0.25,0.21,0.23,0.27,0.28,0.31,0.3,0.24,0.21,0.21,0.23,0.16,0.19,0.2,0.2,0.21,0.23,0.21,0.1,
51001,Carbon Monoxide,2020-01-12,0.09,0.08,0.09,0.11,0.09,0.15,0.13,0.14,0.18,0.16,0.17,0.11,0.12,0.14,0.15,0.14,0.16,0.17,0.2,0.22,0.18,0.17,0.17,0.15,
51001,Carbon Monoxide,2020-01-13,0.13,0.15,0.16,0.19,0.15,0.14,0.18,0.2,0.2,0.2,0.2,0.19,0.2,0.22,0.22,0.2,0.2,0.21,0.2,0.19,0.17,0.18,0.18,0.23,
51001,Carbon Monoxide,2020-01-14,0.21,0.2,0.22,0.19,0.17,0.13,0.15,0.18,0.24,0.2,0.2,0.2,0.2,0.23,0.23,0.26,0.22,0.25,0.23,0.21,0.21,0.23,0.21,0.19,
51001,Carbon Monoxide,2020-01-15,0.19,0.25,0.25,0.26,0.27,0.25,0.26,0.33,0.25,0.25,0.26,0.28,0.26,0.22,0.22,0.27,0.28,0.31,0.3,0.25,0.29,0.37,0.36,0.29,
51001,Carbon Monoxide,2020-01-16,0.25,0.33,0.27,0.23,0.22,0.16,0.18,0.21,0.21,0.17,0.18,0.17,0.14,0.12,0.1,0.1,0.14,0.18,0.16,0.16,0.17,0.2,0.19,0.14,
51001,Carbon Monoxide,2020-01-17,0.13,0.13,0.12,0.11,0.15,0.09,0.07,0.1,0.1,0.07,0.09,0.15,0.16,0.15,0.12,0.11,0.13,0.2,0.2,0.19,0.21,0.27,0.33,0.27,
51001,Carbon Monoxide,2020-01-18,0.25,0.25,0.3,0.34,0.34,0.32,0.27,0.24,0.27,0.25,0.2,0.18,0.17,0.18,0.21,0.21,0.21,0.2,0.19,0.19,0.19,0.18,0.2,0.2,
51001,Carbon Monoxide,2020-01-19,0.19,0.19,0.17,0.19,0.22,0.19,0.19,0.18,0.17,0.2,0.17,0.19,0.17,0.16,0.19,0.17,0.17,0.16,0.17,0.14,0.1,0.09,0.09,0.15,
51001,Carbon Monoxide,2020-01-20,0.15,0.14,0.14,0.14,0.13,0.12,0.15,0.19,0.18,0.16,0.16,0.17,0.16,0.15,0.15,0.16,0.18,0.2,0.24,0.25,0.3,0.23,0.21,0.2,
51001,Carbon Monoxide,2020-01-21,0.18,0.24,0.22,0.2,0.19,0.2,0.2,0.23,0.26,0.25,0.23,0.24,0.24,0.19,0.17,0.17,0.17,0.21,0.22,0.21,0.21,0.21,0.2,0.18,
51001,Carbon Monoxide,2020-01-22,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.21,0.23,0.26,0.25,0.23,0.22,0.2,0.19,0.21,0.3,0.23,0.24,0.23,0.23,0.23,0.23,0.19,
51001,Carbon Monoxide,2020-01-23,0.19,0.18,0.19,0.19,0.19,0.24,0.29,0.38,0.41,0.33,0.33,0.26,0.24,0.24,0.25,0.29,0.31,0.32,0.33,0.47,0.65,0.47,0.47,0.44,
51001,Carbon Monoxide,2020-01-24,0.44,0.49,0.44,0.35,0.33,0.3,0.3,0.31,0.3,0.29,0.23,0.19,0.18,0.17,0.17,0.17,0.17,0.21,0.19,0.19,0.21,0.22,0.22,0.21,
51001,Carbon Monoxide,2020-01-25,0.21,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.21,0.22,0.22,0.23,0.21,0.21,0.2,0.2,0.2,0.2,0.18,0.2,
51001,Carbon Monoxide,2020-01-26,0.2,0.2,0.2,0.21,0.22,0.26,0.25,0.26,0.27,0.28,0.3,0.33,0.32,0.32,0.33,0.31,0.31,0.31,0.31,0.29,0.28,0.27,0.26,0.27,
51001,Carbon Monoxide,2020-01-27,0.27,0.24,0.24,0.25,0.25,0.22,0.26,0.25,0.22,0.19,0.2,0.2,0.18,0.17,0.17,0.18,0.17,0.19,0.18,0.18,0.17,0.16,0.15,0.13,
51001,Carbon Monoxide,2020-01-28,0.13,0.12,0.13,0.13,0.14,0.18,0.19,0.19,0.21,0.17,0.17,0.15,0.13,0.13,0.13,0.13,0.13,0.16,0.15,0.16,0.16,0.15,0.14,0.12,
51001,Carbon Monoxide,2020-01-29,0.12,0.11,0.11,0.11,0.12,0.14,0.16,0.17,0.17,0.16,0.15,-999,-999,9999,9999,9999,9999,9999,9999,0.16,0.16,0.17,0.17,0.17,
51001,Carbon Monoxide,2020-01-30,0.18,0.15,0.16,0.15,0.15,0.21,0.26,0.32,0.4,0.3,0.28,0.2,0.21,0.19,0.19,0.18,0.18,0.28,0.31,0.27,0.36,0.46,0.47,0.5,
51001,Carbon Monoxide,2020-01-31,0.56,0.45,0.45,0.41,0.33,0.27,0.29,0.42,0.41,0.45,0.38,0.34,0.37,0.31,0.31,0.28,0.26,0.3,0.3,0.37,0.43,0.4,0.36,0.32,
51001,Carbon Monoxide,2020-02-01,0.32,0.33,0.36,0.38,0.37,0.38,0.49,0.46,0.48,0.48,0.46,0.39,0.32,0.29,0.29,0.31,0.29,0.31,0.35,0.39,0.37,0.39,0.41,0.35,
