Ottawa Downtown, (51001) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Ottawa Downtown (51001)
Address,Rideau St./Wurtemburg St.
Latitude,45.434333
Longitude,-75.676
Elevation, 68 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
51001,Fine Particulate Matter,2020-01-01,5,6,5,4,4,3,3,3,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,
51001,Fine Particulate Matter,2020-01-02,3,3,4,4,5,5,6,6,7,8,8,8,9,8,6,6,6,5,5,5,5,5,5,5,
51001,Fine Particulate Matter,2020-01-03,5,5,6,6,6,6,7,7,9,10,11,12,12,12,11,10,10,11,11,6,6,5,6,6,
51001,Fine Particulate Matter,2020-01-04,6,6,5,5,4,4,3,3,2,2,3,3,3,2,2,3,4,5,5,5,4,4,3,3,
51001,Fine Particulate Matter,2020-01-05,4,4,4,4,3,3,3,2,3,3,3,3,3,2,2,2,2,3,4,3,4,7,9,10,
51001,Fine Particulate Matter,2020-01-06,6,4,4,4,4,3,3,4,5,6,5,5,5,5,6,6,7,9,10,10,10,11,12,9,
51001,Fine Particulate Matter,2020-01-07,7,7,6,5,5,4,4,4,5,5,4,5,5,5,5,4,6,8,8,8,8,8,8,8,
51001,Fine Particulate Matter,2020-01-08,7,7,7,7,8,8,9,10,11,8,6,5,4,4,4,4,4,4,4,4,3,3,3,3,
51001,Fine Particulate Matter,2020-01-09,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,4,4,5,5,5,5,5,5,
51001,Fine Particulate Matter,2020-01-10,5,6,7,7,7,7,7,7,7,8,9,10,11,12,11,10,11,13,16,18,19,20,20,17,
51001,Fine Particulate Matter,2020-01-11,18,22,23,17,11,8,6,6,6,7,8,6,7,6,6,5,5,5,4,4,4,4,4,3,
51001,Fine Particulate Matter,2020-01-12,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,
51001,Fine Particulate Matter,2020-01-13,3,3,3,3,3,3,4,4,6,7,7,7,8,9,8,8,9,11,13,12,11,12,11,11,
51001,Fine Particulate Matter,2020-01-14,9,8,8,8,7,6,6,6,6,7,9,10,9,8,12,17,16,15,13,11,10,10,10,9,
51001,Fine Particulate Matter,2020-01-15,11,12,13,16,19,19,21,22,20,19,18,17,13,11,10,10,11,12,12,9,10,11,12,11,
51001,Fine Particulate Matter,2020-01-16,13,17,14,9,8,6,6,6,5,4,3,3,3,3,3,3,3,3,4,4,4,3,4,4,
51001,Fine Particulate Matter,2020-01-17,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,
51001,Fine Particulate Matter,2020-01-18,7,7,9,9,8,8,8,8,8,7,7,6,6,6,8,8,9,10,9,8,7,7,7,6,
51001,Fine Particulate Matter,2020-01-19,6,6,6,5,5,5,5,5,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,
51001,Fine Particulate Matter,2020-01-20,2,2,2,2,2,2,2,2,4,5,4,4,4,4,3,3,4,5,5,6,6,5,5,5,
51001,Fine Particulate Matter,2020-01-21,5,4,4,4,3,3,3,4,5,5,4,4,3,4,4,4,4,5,5,5,5,4,5,5,
51001,Fine Particulate Matter,2020-01-22,7,9,9,9,9,9,9,10,11,12,13,12,11,11,11,10,13,16,17,15,12,11,9,9,
51001,Fine Particulate Matter,2020-01-23,10,11,11,11,12,12,13,13,14,15,17,17,16,16,17,18,18,19,22,26,27,29,30,31,
51001,Fine Particulate Matter,2020-01-24,30,27,24,21,20,19,19,19,18,17,13,10,9,9,8,7,8,9,10,11,13,14,13,12,
51001,Fine Particulate Matter,2020-01-25,13,13,12,12,11,10,10,9,9,9,9,9,10,10,10,10,10,10,9,9,8,7,6,6,
51001,Fine Particulate Matter,2020-01-26,5,5,5,5,6,6,6,4,4,4,5,5,5,5,5,4,5,5,6,5,5,5,5,5,
