Petawawa, (51010) Hourly, Ground-level ozone (O3) Concentrations
Station,Petawawa (51010)
Address,Petawawa Research Forest Facility
Latitude,45.996722
Longitude,-77.441194
Elevation, 174 metres
Air intake height,6 metres
Pollutant,Ozone (ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
51010,Ozone,2020-01-01,19,18,18,18,16,15,15,15,12,12,15,16,16,21,25,29,31,39,39,37,31,27,30,29,
51010,Ozone,2020-01-02,29,29,28,30,30,30,29,28,28,27,26,25,24,24,23,21,19,18,17,18,17,17,17,18,
51010,Ozone,2020-01-03,16,12,13,14,18,18,17,18,19,19,20,22,26,28,31,31,30,31,30,30,32,32,32,30,
51010,Ozone,2020-01-04,28,27,25,22,25,27,28,28,26,25,24,25,26,26,26,27,27,27,26,26,26,25,26,28,
51010,Ozone,2020-01-05,30,31,32,32,31,32,32,32,32,33,35,37,37,36,36,35,35,32,30,31,29,28,29,29,
51010,Ozone,2020-01-06,29,29,29,29,28,27,27,28,29,28,28,28,27,26,25,24,23,21,20,22,33,33,32,31,
51010,Ozone,2020-01-07,30,29,28,25,26,24,24,23,23,24,27,29,29,30,31,32,32,32,31,30,29,27,25,23,
51010,Ozone,2020-01-08,22,20,19,23,26,28,29,32,32,31,32,31,29,30,31,32,32,33,33,34,36,36,36,37,
51010,Ozone,2020-01-09,37,36,36,36,35,34,34,31,29,31,34,34,34,35,35,35,35,35,34,33,33,33,32,32,
51010,Ozone,2020-01-10,32,31,31,30,29,29,28,26,25,24,23,23,23,21,21,21,20,23,15,10,11,11,9,5,
51010,Ozone,2020-01-11,4,8,11,11,11,12,13,14,13,12,22,23,25,28,31,28,28,31,30,30,30,31,32,32,
51010,Ozone,2020-01-12,33,34,34,35,35,35,35,35,35,36,37,37,37,37,37,37,37,37,37,36,33,33,33,34,
51010,Ozone,2020-01-13,34,32,30,29,26,28,30,29,29,29,29,29,29,29,29,29,29,28,28,27,27,28,27,25,
51010,Ozone,2020-01-14,26,27,26,25,24,25,20,20,18,20,20,23,29,28,29,29,27,25,25,24,24,23,22,22,
51010,Ozone,2020-01-15,21,21,20,20,19,18,16,15,15,15,16,16,15,14,15,14,10,8,8,11,10,10,10,11,
51010,Ozone,2020-01-16,8,7,9,17,22,22,22,22,24,25,28,30,30,31,32,33,35,38,38,37,38,39,39,38,
51010,Ozone,2020-01-17,37,36,36,35,35,34,34,33,33,33,33,34,35,36,36,36,36,35,34,32,31,29,32,28,
51010,Ozone,2020-01-18,26,25,26,23,22,24,25,27,30,32,33,34,34,33,35,37,37,38,37,37,36,35,36,38,
