Petawawa, (51010) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Petawawa (51010)
Address,Petawawa Research Forest Facility
Latitude,45.996722
Longitude,-77.441194
Elevation, 174 metres
Air intake height,6 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
51010,Fine Particulate Matter,2020-01-01,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
51010,Fine Particulate Matter,2020-01-02,2,2,2,2,2,3,4,6,5,5,6,7,7,8,8,7,8,7,7,7,6,6,6,5,
51010,Fine Particulate Matter,2020-01-03,5,6,6,6,6,6,6,6,6,7,7,6,5,4,3,3,3,3,3,3,3,3,2,2,
51010,Fine Particulate Matter,2020-01-04,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,
51010,Fine Particulate Matter,2020-01-05,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
51010,Fine Particulate Matter,2020-01-06,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,
51010,Fine Particulate Matter,2020-01-07,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,
51010,Fine Particulate Matter,2020-01-08,6,8,7,7,6,5,4,4,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,
51010,Fine Particulate Matter,2020-01-09,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,
51010,Fine Particulate Matter,2020-01-10,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,4,6,7,7,7,6,
51010,Fine Particulate Matter,2020-01-11,5,7,9,8,6,4,3,2,3,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,
51010,Fine Particulate Matter,2020-01-12,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,
51010,Fine Particulate Matter,2020-01-13,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,
51010,Fine Particulate Matter,2020-01-14,3,3,3,3,3,4,3,3,3,4,9,5,3,3,3,3,3,4,4,5,5,6,5,6,
51010,Fine Particulate Matter,2020-01-15,8,10,11,12,12,12,13,12,11,11,11,10,10,10,11,11,12,12,12,11,12,13,12,12,
51010,Fine Particulate Matter,2020-01-16,11,14,12,7,5,4,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,
51010,Fine Particulate Matter,2020-01-17,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,
51010,Fine Particulate Matter,2020-01-18,2,2,2,2,2,2,4,5,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,
51010,Fine Particulate Matter,2020-01-19,3,4,4,4,3,2,2,2,2,3,2,2,2,2,2,2,3,4,4,4,4,3,3,3,
51010,Fine Particulate Matter,2020-01-20,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
