Kingston, (52023) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Kingston (52023)
Address,23 Beechgrove Lane
Latitude,44.219953
Longitude,-76.521143
Elevation, 84 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
52023,Fine Particulate Matter,2020-01-01,5,4,4,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,4,7,7,7,7,
52023,Fine Particulate Matter,2020-01-02,11,12,9,7,7,6,5,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,
52023,Fine Particulate Matter,2020-01-03,4,4,4,5,5,6,6,7,9,9,9,9,8,9,9,11,13,15,14,9,7,6,4,2,
52023,Fine Particulate Matter,2020-01-04,2,2,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,4,4,4,4,
52023,Fine Particulate Matter,2020-01-05,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,5,6,7,10,9,11,7,
52023,Fine Particulate Matter,2020-01-06,2,2,3,4,3,3,4,5,12,10,4,3,2,2,2,3,3,5,4,4,4,2,2,2,
52023,Fine Particulate Matter,2020-01-07,2,3,4,4,3,3,4,4,6,3,3,3,3,3,4,4,4,5,5,4,4,5,7,6,
52023,Fine Particulate Matter,2020-01-08,7,8,15,15,16,12,11,11,9,6,1,1,1,1,1,1,2,2,2,2,2,2,2,2,
52023,Fine Particulate Matter,2020-01-09,2,1,1,2,2,2,3,4,4,3,3,2,2,3,2,2,2,3,3,3,3,4,2,2,
52023,Fine Particulate Matter,2020-01-10,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,5,6,7,7,7,9,9,9,
52023,Fine Particulate Matter,2020-01-11,9,9,9,8,8,8,6,5,5,4,4,4,4,3,2,3,3,3,3,3,2,2,2,1,
52023,Fine Particulate Matter,2020-01-12,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,6,5,6,5,6,4,4,
52023,Fine Particulate Matter,2020-01-13,4,4,4,4,4,4,4,4,7,8,9,9,9,8,8,7,7,8,8,9,10,11,10,10,
52023,Fine Particulate Matter,2020-01-14,10,10,10,8,5,5,4,6,7,10,10,12,11,11,11,13,16,17,17,16,18,19,17,15,
52023,Fine Particulate Matter,2020-01-15,13,12,14,13,12,13,13,11,7,7,6,4,6,6,5,4,5,6,6,6,6,5,5,4,
52023,Fine Particulate Matter,2020-01-16,5,7,6,5,3,2,2,3,3,3,2,2,2,1,1,1,2,3,3,3,3,2,3,2,
52023,Fine Particulate Matter,2020-01-17,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,4,6,10,11,10,8,6,6,
52023,Fine Particulate Matter,2020-01-18,8,7,6,3,3,3,2,3,2,1,1,1,1,2,2,2,2,3,3,3,4,4,5,4,
52023,Fine Particulate Matter,2020-01-19,6,8,7,8,8,8,8,7,7,6,5,5,4,3,3,2,3,4,4,4,4,4,4,3,
52023,Fine Particulate Matter,2020-01-20,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,3,4,4,5,
52023,Fine Particulate Matter,2020-01-21,5,5,4,4,4,4,3,3,4,4,4,2,2,2,1,1,2,3,5,6,5,5,7,8,
52023,Fine Particulate Matter,2020-01-22,10,11,12,12,11,11,12,12,12,12,8,11,12,12,12,10,8,7,7,7,7,8,8,6,
52023,Fine Particulate Matter,2020-01-23,6,6,5,6,6,6,6,7,6,6,7,7,8,7,6,7,9,12,20,19,19,16,13,11,
52023,Fine Particulate Matter,2020-01-24,11,11,11,9,9,9,10,11,11,12,11,10,9,8,7,7,10,14,20,19,16,17,17,15,
52023,Fine Particulate Matter,2020-01-25,13,13,11,11,11,13,16,16,15,14,9,13,10,5,5,7,6,6,5,7,6,6,6,5,
52023,Fine Particulate Matter,2020-01-26,5,5,5,7,7,8,4,3,2,3,3,6,8,9,8,8,7,6,5,5,5,5,3,2,
52023,Fine Particulate Matter,2020-01-27,2,5,6,5,5,5,5,4,3,3,2,2,2,2,2,2,2,3,3,3,3,2,2,1,
52023,Fine Particulate Matter,2020-01-28,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
52023,Fine Particulate Matter,2020-01-29,2,2,2,2,2,2,3,3,3,3,2,2,2,2,-999,-999,-999,-999,11,7,5,4,4,5,
52023,Fine Particulate Matter,2020-01-30,5,6,5,4,4,4,4,4,6,8,7,6,6,5,4,5,6,9,13,13,11,10,10,11,
52023,Fine Particulate Matter,2020-01-31,12,12,12,13,13,13,13,15,14,13,13,13,14,13,13,14,16,18,18,18,17,16,16,17,
52023,Fine Particulate Matter,2020-02-01,17,18,18,19,19,19,16,12,10,12,12,10,11,9,8,8,8,8,6,5,6,5,7,8,
52023,Fine Particulate Matter,2020-02-02,10,9,9,10,14,13,14,11,11,11,11,13,12,11,10,8,8,7,7,6,7,7,8,9,
52023,Fine Particulate Matter,2020-02-03,10,9,10,10,10,11,11,9,10,5,4,2,2,1,2,2,2,3,4,3,4,7,7,12,
52023,Fine Particulate Matter,2020-02-04,8,10,11,12,14,12,9,6,5,5,5,3,3,2,3,2,2,2,3,2,2,2,2,2,
52023,Fine Particulate Matter,2020-02-05,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,3,4,2,2,2,
52023,Fine Particulate Matter,2020-02-06,2,2,3,3,3,3,2,2,4,5,6,5,5,5,6,7,8,7,6,6,5,5,4,3,
