Belleville, (54012) Hourly, Nitric oxide (NO) Concentrations
Station,Belleville (54012)
Address,2 Sidney St., Water Treatment Plant
Latitude,44.150528
Longitude,-77.3955
Elevation, 75 metres
Air intake height,10 metres
Pollutant,Nitrogen Oxide (nitrogen oxide NO)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
54012,Nitrogen Oxide,2020-01-01,5.8,0.3,0.3,0.3,0.3,0.3,5.5,0.5,0.5,0.5,0.8,0.5,0.4,0.4,0.4,0.4,2.1,0.3,0.3,0.3,0.3,0.3,2.3,0.3,
54012,Nitrogen Oxide,2020-01-02,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
54012,Nitrogen Oxide,2020-01-03,0.3,0.3,0.3,0.3,2.4,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.9,1.5,1.8,0.5,0.8,0.3,0.3,0.3,0.3,2.9,0.3,2.8,
54012,Nitrogen Oxide,2020-01-04,0.4,10.7,0.3,0.4,0.5,0.7,1.2,12.3,1.4,1.6,2.2,2.3,1,0.9,0.7,0.5,0.4,0.3,0.4,0.4,3.5,0.3,5.5,0.3,
54012,Nitrogen Oxide,2020-01-05,0.3,0.3,0.3,0.3,0.3,0.3,3.6,0.9,0.4,0.5,0.5,0.5,2.2,0.4,0.5,0.4,2,0.3,0.4,0.6,0.3,0.3,0.3,0.3,
54012,Nitrogen Oxide,2020-01-06,0.3,0.3,0.3,0.3,0.3,1,4.5,0.8,0.9,1.5,1,2.1,0.6,0.5,0.7,0.7,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
54012,Nitrogen Oxide,2020-01-07,4.7,0.3,0.3,0.3,0.3,0.3,0.3,15.1,1.9,1.9,1.6,1.3,0.8,0.5,0.5,0.4,0.3,0.3,0.3,3,0.3,0.3,0.3,0.3,
54012,Nitrogen Oxide,2020-01-08,0.3,0.3,0.3,0.3,0.3,0.3,9.4,0.5,0.6,0.6,0.8,1.2,0.6,0.5,0.7,0.7,0.5,0.5,1.3,0.4,0.4,0.4,3.1,3.5,
54012,Nitrogen Oxide,2020-01-09,1,0.4,0.4,0.3,0.6,0.5,1.1,3.8,1.8,1.5,1.4,1.3,0.9,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
54012,Nitrogen Oxide,2020-01-10,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.9,0.5,0.5,0.8,
54012,Nitrogen Oxide,2020-01-11,0.4,0.5,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.4,2,0.7,1.2,1.8,1.1,1,0.8,0.9,0.8,1.9,0.7,0.5,0.5,
54012,Nitrogen Oxide,2020-01-12,0.4,0.5,0.4,0.6,0.5,0.6,0.7,1,1.1,0.5,0.5,1.6,0.7,0.5,0.5,0.4,0.6,0.3,0.3,0.3,0.3,0.4,2.5,0.4,
54012,Nitrogen Oxide,2020-01-13,0.3,0.3,0.4,0.3,0.3,1.1,0.7,0.8,0.9,0.6,0.8,0.8,1.6,1.7,1.5,1.4,0.8,1.1,0.6,0.4,5.5,0.7,0.6,0.5,
54012,Nitrogen Oxide,2020-01-14,1,0.8,1,0.7,0.4,0.3,0.3,0.4,0.4,0.7,0.8,1.5,1.3,0.9,0.9,1.5,1.5,1.4,0.9,2.2,0.8,0.3,1.1,0.3,
54012,Nitrogen Oxide,2020-01-15,0.3,0.3,0.3,4.5,0.7,0.4,0.6,0.9,0.8,9.2,1,1.7,3.3,1.4,0.9,1.2,0.5,0.5,0.4,0.4,0.4,0.3,0.5,0.4,
54012,Nitrogen Oxide,2020-01-16,1.7,0.9,1.3,0.6,2.8,0.4,0.6,6.1,1.2,1.1,1.3,1.1,0.9,0.9,0.8,0.6,0.5,0.4,0.5,0.4,0.4,0.4,1.8,0.4,
54012,Nitrogen Oxide,2020-01-17,0.3,0.3,4.7,0.4,0.4,0.4,0.5,0.7,1.4,1,3.5,0.9,1,0.8,0.6,0.5,0.4,0.3,0.3,0.3,0.8,12.2,17.2,3,
54012,Nitrogen Oxide,2020-01-18,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.7,0.6,0.7,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.3,1.2,0.6,0.4,
54012,Nitrogen Oxide,2020-01-19,2.2,1.4,0.4,0.5,0.8,0.5,0.8,7.9,0.7,1,1.2,1.2,0.8,1.9,0.7,0.6,0.5,0.3,0.4,0.4,2.2,0.4,0.4,0.5,
54012,Nitrogen Oxide,2020-01-20,0.3,0.4,0.3,0.4,2.5,0.5,6,0.7,1.5,1.8,1.5,1.3,1.2,1.1,1.8,0.8,0.6,0.4,6.9,0.4,0.3,4.1,0.4,0.4,
54012,Nitrogen Oxide,2020-01-21,10.2,0.4,0.5,0.5,3.7,0.7,13.2,10.1,3.1,29.7,5.7,8.5,4.4,2.1,1,1.8,1.4,0.4,0.4,0.4,1.1,0.4,0.3,0.4,
54012,Nitrogen Oxide,2020-01-22,0.4,0.4,0.7,0.4,0.3,0.3,1,0.5,8.5,2.1,0.8,0.8,1.3,1.1,0.9,0.8,0.5,0.3,0.3,0.4,0.3,0.3,0.3,0.4,
54012,Nitrogen Oxide,2020-01-23,0.3,0.3,1.7,1,0.8,2.1,50.5,66.3,15.6,47.2,50.2,19.9,3.9,2.4,2.7,1.6,1,2.9,0.3,0.3,0.6,17.9,4.4,1.2,
54012,Nitrogen Oxide,2020-01-24,18.6,4.7,0.8,2.8,2,1.8,2.7,10.1,7.8,4.5,1.5,1.7,2.2,1.7,1.3,1.2,0.6,0.4,0.3,0.3,0.4,0.3,0.3,0.3,
54012,Nitrogen Oxide,2020-01-25,0.4,9999,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.6,0.4,0.3,0.3,0.3,0.3,3.3,4.4,0.5,
54012,Nitrogen Oxide,2020-01-26,1,3.1,0.9,0.3,0.4,0.3,0.4,6,4.2,1.5,2,3,4.8,3.1,2.1,1,0.5,0.3,1.3,0.3,0.3,0.3,8.1,2.6,
54012,Nitrogen Oxide,2020-01-27,1.7,0.3,0.3,0.3,0.4,0.5,0.5,0.8,4.6,1.6,1.6,1,0.9,0.8,0.9,2.1,0.6,0.4,0.6,0.4,0.3,3.7,0.3,0.3,
54012,Nitrogen Oxide,2020-01-28,2.6,0.3,0.3,0.3,0.3,0.3,7.5,0.6,0.7,0.8,0.8,0.9,0.6,0.8,0.5,1.5,0.5,0.9,0.8,8.5,0.8,1,1.1,0.8,
