Belleville, (54012) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Belleville (54012)
Address,2 Sidney St., Water Treatment Plant
Latitude,44.150528
Longitude,-77.3955
Elevation, 75 metres
Air intake height,10 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
54012,Nitrogen Dioxide,2020-01-01,6.6,2.7,2.3,2.3,2.3,2,5,3.1,3.1,2.4,2.3,1.3,0.9,1.1,1.1,1.7,2.8,1.8,2.5,2.5,2.9,5.1,8.6,4.7,
54012,Nitrogen Dioxide,2020-01-02,4,3.5,2.3,1.9,1.9,2.2,2,2,2.1,2.2,2,2.2,2.4,2.4,2.3,2.6,2.2,2.3,2.3,2.2,2.3,2.7,2.3,2.2,
54012,Nitrogen Dioxide,2020-01-03,2.3,2.4,2.7,3,6.3,3.3,4.4,3.9,4.8,3.3,3.5,3.9,4.7,7.3,6.7,4.5,4.3,4.3,4,3.7,2.9,7.8,4,5.6,
54012,Nitrogen Dioxide,2020-01-04,4.3,9.3,4.9,4.7,4.8,4.6,6.3,10.5,6.9,4.8,6,4.6,2.5,2.4,2.4,3.4,5,5.4,3.2,2.4,2.7,2.4,3.5,2.5,
54012,Nitrogen Dioxide,2020-01-05,1.9,1.1,1.5,0.9,1.1,1,3,1.6,1.4,1.5,1.3,1,1.7,0.9,1,1,7,2.3,6.9,8.1,2.6,1.4,0.8,0.3,
54012,Nitrogen Dioxide,2020-01-06,0.4,0.3,0.3,0.3,0.5,2.1,4.9,8.5,6.6,5.4,2.7,2.8,1.2,1.2,2.6,3.8,3.5,3.8,4.2,2,1.4,1.1,1.5,1.5,
54012,Nitrogen Dioxide,2020-01-07,1.8,2.6,3,2.8,3,2.4,4.2,23.6,11.9,7.1,6,4.8,3,1.7,2.3,2.4,3.5,5.5,4.8,11.1,5.4,4.8,3.8,4.1,
54012,Nitrogen Dioxide,2020-01-08,5,8.9,8,8.6,7.9,7.8,15.7,4,3.1,2.6,1.9,1.8,0.9,0.8,1.2,1.2,1.2,1.5,1.1,1.1,1.4,1.3,3.7,1.7,
54012,Nitrogen Dioxide,2020-01-09,2.9,2.9,3.8,3.9,5.9,7.4,14.2,20.9,7.1,3.1,2.3,2,1.7,0.6,0.8,1.1,1.7,3.4,2.9,1.4,1.5,2.1,2.1,1.7,
54012,Nitrogen Dioxide,2020-01-10,1.9,2.1,2.3,2.9,3.3,3.4,3,2.8,2.6,3,3,3.3,3.5,3.1,3.2,2.8,3,2.8,3.2,3.8,6.5,5.8,3.6,4.1,
54012,Nitrogen Dioxide,2020-01-11,3.2,2.8,2,2.3,2,1.9,1.7,1.7,1.7,1.7,2.4,4.3,4,5.2,10.2,2.9,2.7,2.7,2.5,2.4,3.2,2,1.3,1.2,
54012,Nitrogen Dioxide,2020-01-12,1.1,1.1,0.9,2,1.8,1.6,2,1.2,1.5,1.1,1,1.2,1.1,0.8,0.9,1.1,1.9,1.8,2.9,3,4.3,3.9,5.7,3.9,
54012,Nitrogen Dioxide,2020-01-13,2.1,1.1,2.2,2.1,2.4,3.8,3.6,3.8,4.4,2.2,2.3,2.1,4.3,5.9,5.9,5.6,8.4,7.8,7.5,5.4,7.5,7,9,9.3,
54012,Nitrogen Dioxide,2020-01-14,7.1,5.7,5.1,7.3,2.2,2,1.5,2.2,2,3.3,2.8,3.9,3.6,3.7,4.5,4.9,6.5,7.2,6.4,5.8,4.7,4.6,6.1,3.7,
54012,Nitrogen Dioxide,2020-01-15,3.4,3.2,5.1,11.2,9.6,8,8.4,10.1,6.9,10.4,4,5.8,9.4,8.2,6.1,7.6,7.1,9.3,5.7,4.4,4.9,5.4,3.5,3,
54012,Nitrogen Dioxide,2020-01-16,8.3,10,6.5,4.8,5.7,4.2,5.8,7,5,3.2,2.6,2.2,1.7,1.5,1.9,1.9,1.9,1.9,2.2,1.9,2.2,2,3.5,2.3,
54012,Nitrogen Dioxide,2020-01-17,1.8,1.4,1.7,2.3,2.5,2.5,3.5,5.9,4.9,1.9,2.1,1.3,1.5,1.2,1,1.3,1.4,2.6,3.6,2.4,11.6,29,34.3,28.9,
54012,Nitrogen Dioxide,2020-01-18,16.2,11.2,9.8,5.3,4.5,5.7,3.8,3.2,4,2.9,2.6,2.4,2.8,2.3,2.1,2.6,2.4,2,2.5,2.9,3,7.6,5.9,6.6,
54012,Nitrogen Dioxide,2020-01-19,7.7,7.7,6.4,6.8,8.2,6.9,10.4,6.8,4,3.3,3.1,2.7,1.7,2.2,1.6,1.6,2.6,3.5,6.7,5.1,5.6,4,2.2,2.7,
54012,Nitrogen Dioxide,2020-01-20,3.4,5.2,3.8,5,6.4,9.4,11.5,7,5.8,3.5,2.3,1.9,1.9,1.8,2.5,2.2,3.3,4.2,7.7,7.7,6.7,10,8.6,8.9,
54012,Nitrogen Dioxide,2020-01-21,9.7,9.9,13.7,17,21.8,14.5,25.3,21.1,10.4,22.1,10.7,14.1,9.1,5.6,3.9,8.7,13.4,10.9,8.8,6.6,6,7.9,7.2,7.3,
54012,Nitrogen Dioxide,2020-01-22,8,9.6,8.7,7.3,6.7,7.4,9.9,11,9.7,7.6,3.7,2.9,4.4,4.3,4.3,4.6,4.5,4.5,4.2,4.3,4,3.9,4.6,6,
54012,Nitrogen Dioxide,2020-01-23,5.3,4.3,14.9,12.6,20.5,20.2,33.8,31.6,16.7,23.5,26.5,18,8.6,6.9,8.5,7.7,10,29,8.6,6.8,6.8,25.9,31,22.9,
54012,Nitrogen Dioxide,2020-01-24,29.6,16,15.8,18.4,19.1,14.2,17.1,22.9,22,10.3,4.5,4.9,5.2,4.9,5.3,5.3,6.2,8.1,6.2,7.7,9.6,9.2,7.4,7.6,
54012,Nitrogen Dioxide,2020-01-25,10.2,9999,6.7,6.2,5,4.2,4.7,4.5,4.3,3.7,3,2.6,2.3,2,2.8,3.4,3.4,3.1,3.5,13.2,6.8,6.8,6.8,6.7,
54012,Nitrogen Dioxide,2020-01-26,6.8,6.5,5,4.2,3.8,3.2,3.4,5.1,4.4,3.8,4,4.7,5.6,5.8,6.6,5.4,4.1,3.9,4.8,3.2,3.4,3.6,6.1,5.4,
54012,Nitrogen Dioxide,2020-01-27,9.2,7.5,6.8,7.2,5.8,6.8,4.4,4.1,4.7,3.8,3.1,2.1,1.9,1.9,2.4,2.7,2.6,3,2.7,2.6,2,3.1,2.3,2.1,
54012,Nitrogen Dioxide,2020-01-28,3.4,1.4,2.4,3,3.1,2,7.2,4.9,3.5,2.3,1.7,1.6,1.1,1.3,1.3,2.4,2.5,6,7,7.6,3.9,3.9,4.5,3.5,
54012,Nitrogen Dioxide,2020-01-29,1.8,2.2,4.4,3,3.7,2.1,2.1,3.1,3.9,2.8,1.9,1.5,1.3,1.5,1.6,1.7,1.7,3.9,13.3,10.8,20.6,20.2,7.3,9,
54012,Nitrogen Dioxide,2020-01-30,11.8,12.8,11.4,9.3,10.4,10.9,11.7,14.5,16.3,10.2,6.8,4.7,3.7,4,5.3,4.1,4,4,8.5,18.4,31.5,27.3,19.8,12.3,
54012,Nitrogen Dioxide,2020-01-31,11.8,10.3,9.1,9.4,8.7,9.5,9.5,11.6,13.3,13.7,10.9,12.5,7.4,6.3,6.8,7.6,7.9,8.9,7.4,10.5,14.9,22.3,13,10.7,
54012,Nitrogen Dioxide,2020-02-01,16.9,20.1,23.4,23.1,26.8,23,11.8,6.5,7.3,6.9,5.8,5.3,5,4.3,4,4.3,4.7,3.3,3.6,7.1,4.6,5,3.6,1.9,
54012,Nitrogen Dioxide,2020-02-02,1.9,1.8,2,2.1,2.2,2.4,5,4.6,3.3,4.1,4.5,4.2,4.3,3.8,3.9,2.7,1.9,1.9,2.9,3.4,3,8.1,26,29.7,
54012,Nitrogen Dioxide,2020-02-03,22.7,13.1,10.1,4.4,6,8.3,15.8,9,7.2,4.1,3.6,4.2,4.2,4.2,2.2,1.9,2.6,11.6,8.9,8.9,16.3,25.3,30.1,36,
54012,Nitrogen Dioxide,2020-02-04,36.4,33.5,25.3,17.2,11.1,7,5.6,8.6,11.7,7.9,4.9,3.2,2.6,1.5,1.5,1.9,3,2.7,3.1,2.6,2,1.2,1,1.2,
54012,Nitrogen Dioxide,2020-02-05,1.1,1.3,1.8,2,2.3,1.5,3.3,5.6,4.6,2.5,3.1,2.8,2.2,3.2,1.3,1.3,0.9,0.8,0.6,0.9,0.7,0.7,0.7,2.1,
54012,Nitrogen Dioxide,2020-02-06,8,19.4,17,14.6,19.7,17,13.3,14.3,11.1,15.1,12.3,16.8,8.9,4,11.6,18.3,19.7,22.7,22,19.6,9.9,10.3,5.3,3,
54012,Nitrogen Dioxide,2020-02-07,2.5,5.1,10,3.1,3,4.1,4.4,4.8,4.7,2.7,2.6,2.3,2.5,1.9,1.6,1.8,1.8,1.9,1.8,1,1.4,1.7,1.7,2.5,
54012,Nitrogen Dioxide,2020-02-08,3.7,2.5,1.8,1.7,1.6,1.7,2.1,5.2,2.4,1.3,1.1,0.8,1,1.1,0.9,1.1,1.2,1.5,2.9,9.3,20,12.7,14.7,17.1,
54012,Nitrogen Dioxide,2020-02-09,27.3,33.2,29.6,20,16,15.2,18.6,16.6,12.6,6.4,4.1,4.3,3.8,2.1,1.8,2.2,2.9,5.2,4,3.4,2.7,1.4,1.5,1.4,
54012,Nitrogen Dioxide,2020-02-10,1.2,1.4,2,1.4,2.5,2.1,2.6,6.5,6.2,6.7,4.6,4,3,3.3,2.7,2.9,4.1,4.2,4,4.5,3.1,2.1,0.9,10.3,
54012,Nitrogen Dioxide,2020-02-11,10.4,7.8,7.4,3.6,2.7,3.3,5.1,9.6,8.8,4.8,3,4.1,2,2.4,3.5,6.1,6.2,8.4,8.4,7.1,4.7,2.8,2.6,3,
