Belleville, (54012) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Belleville (54012)
Address,2 Sidney St., Water Treatment Plant
Latitude,44.150528
Longitude,-77.3955
Elevation, 75 metres
Air intake height,10 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
54012,Nitrogen Oxides,2020-01-01,12.4,3,2.6,2.6,2.6,2.3,10.6,3.6,3.5,2.9,3.1,1.8,1.3,1.5,1.5,2,4.9,2.1,2.8,2.7,3.2,5.4,10.9,5.1,
54012,Nitrogen Oxides,2020-01-02,4.2,3.9,2.6,2.2,2.1,2.5,2.3,2.2,2.4,2.7,2.5,2.9,2.8,2.8,2.7,3,2.5,2.6,2.5,2.5,2.6,2.9,2.6,2.5,
54012,Nitrogen Oxides,2020-01-03,2.6,2.7,3,3.3,8.7,3.6,4.7,4.3,5.2,3.7,4,4.4,5.7,8.8,8.6,5,5.1,4.6,4.4,4.1,3.2,10.6,4.3,8.4,
54012,Nitrogen Oxides,2020-01-04,4.7,19.9,5.2,5.1,5.3,5.3,7.5,22.7,8.3,6.4,8.2,6.9,3.5,3.3,3.1,3.9,5.4,5.7,3.6,2.8,6.2,2.7,9,2.9,
54012,Nitrogen Oxides,2020-01-05,2.3,1.5,1.8,1.2,1.5,1.3,6.7,2.6,1.8,2.1,1.9,1.5,3.9,1.3,1.5,1.4,9,2.5,7.3,8.7,2.9,1.6,1.1,0.6,
54012,Nitrogen Oxides,2020-01-06,0.7,0.6,0.6,0.6,0.7,3.1,9.5,9.3,7.5,6.9,3.6,4.9,1.7,1.7,3.3,4.4,3.9,4.1,4.5,2.4,1.7,1.4,1.8,1.8,
54012,Nitrogen Oxides,2020-01-07,6.5,2.9,3.3,3.1,3.3,2.7,4.5,38.7,13.8,9,7.6,6.2,3.8,2.2,2.9,2.8,3.8,5.8,5.1,14.1,5.7,5.1,4.1,4.3,
54012,Nitrogen Oxides,2020-01-08,5.3,9.2,8.4,9,8.3,8.1,25.2,4.5,3.7,3.2,2.7,2.9,1.6,1.3,1.9,1.9,1.8,2,2.4,1.5,1.8,1.7,6.8,5.2,
54012,Nitrogen Oxides,2020-01-09,3.9,3.2,4.2,4.3,6.6,7.9,15.3,24.8,9,4.6,3.7,3.3,2.6,1.1,1.3,1.6,2.1,3.7,3.2,1.7,1.8,2.4,2.4,2,
54012,Nitrogen Oxides,2020-01-10,2.2,2.4,2.6,3.2,3.6,3.7,3.4,3.2,3,3.4,3.4,3.8,4.1,3.6,3.6,3.1,3.3,3.1,3.5,4.1,7.4,6.2,4.1,4.9,
54012,Nitrogen Oxides,2020-01-11,3.6,3.3,2.3,2.9,2.3,2.2,2,2,2,2,2.8,6.3,4.7,6.4,12,4,3.7,3.6,3.3,3.2,5,2.7,1.8,1.7,
54012,Nitrogen Oxides,2020-01-12,1.5,1.5,1.3,2.5,2.3,2.2,2.6,2.2,2.6,1.6,1.6,2.8,1.7,1.3,1.4,1.6,2.5,2.1,3.2,3.3,4.6,4.2,8.2,4.3,
54012,Nitrogen Oxides,2020-01-13,2.4,1.4,2.6,2.4,2.7,4.9,4.4,4.6,5.4,2.8,3.1,2.9,5.9,7.6,7.4,6.9,9.2,8.8,8.1,5.8,13,7.8,9.6,9.7,
54012,Nitrogen Oxides,2020-01-14,8.1,6.4,6.1,8,2.6,2.3,1.8,2.7,2.5,4,3.7,5.4,4.9,4.6,5.4,6.4,8,8.6,7.3,8,5.5,5,7.2,4,
54012,Nitrogen Oxides,2020-01-15,3.7,3.5,5.4,15.8,10.3,8.4,9,11,7.7,19.6,5,7.4,12.7,9.7,6.9,8.8,7.6,9.8,6.1,4.8,5.4,5.7,4,3.4,
54012,Nitrogen Oxides,2020-01-16,9.9,10.9,7.7,5.4,8.5,4.6,6.4,13.1,6.2,4.3,4,3.2,2.5,2.4,2.7,2.5,2.4,2.3,2.7,2.3,2.7,2.4,5.3,2.6,
54012,Nitrogen Oxides,2020-01-17,2.2,1.8,6.4,2.7,2.9,2.9,4,6.6,6.3,2.9,5.5,2.3,2.5,2,1.7,1.8,1.8,2.9,3.9,2.7,12.4,41.3,51.5,31.9,
54012,Nitrogen Oxides,2020-01-18,16.6,11.6,10.1,5.7,4.8,6,4.1,3.6,4.6,3.6,3.3,3,3.6,3,2.6,3.1,2.8,2.3,2.8,3.2,3.3,8.7,6.4,7,
54012,Nitrogen Oxides,2020-01-19,9.9,9.1,6.9,7.3,8.9,7.4,11.2,14.7,4.7,4.3,4.3,4,2.5,4.1,2.3,2.2,3,3.9,7.1,5.5,7.9,4.4,2.6,3.2,
54012,Nitrogen Oxides,2020-01-20,3.7,5.6,4.1,5.4,8.8,9.9,17.5,7.8,7.3,5.3,3.8,3.2,3.1,2.8,4.3,3,3.9,4.6,14.5,8.1,7.1,14.3,9,9.3,
54012,Nitrogen Oxides,2020-01-21,19.9,10.3,14.1,17.5,25.6,15.2,38.5,31.2,13.4,51.8,16.4,22.7,13.4,7.7,4.9,10.6,14.8,11.3,9.2,7,7,8.3,7.6,7.6,
54012,Nitrogen Oxides,2020-01-22,8.4,10,9.5,7.7,7,7.7,10.9,11.5,18.2,9.7,4.5,3.7,5.7,5.4,5.2,5.4,5,4.9,4.5,4.7,4.3,4.2,4.9,6.4,
54012,Nitrogen Oxides,2020-01-23,5.6,4.6,16.6,13.7,21.3,22.3,84.3,97.9,32.3,70.7,76.6,37.9,12.5,9.3,11.3,9.3,11,31.9,9,7.1,7.3,43.7,35.5,24.2,
54012,Nitrogen Oxides,2020-01-24,48.2,20.7,16.7,21.1,21.1,16,19.7,33,29.8,14.8,6,6.6,7.4,6.6,6.6,6.4,6.8,8.4,6.5,8,10,9.5,7.7,7.9,
54012,Nitrogen Oxides,2020-01-25,10.6,9999,7,6.5,5.4,4.7,5,4.8,4.7,4.2,3.4,3.1,2.8,2.4,3.3,4,3.8,3.4,3.8,13.5,7.1,10.1,11.3,7.2,
54012,Nitrogen Oxides,2020-01-26,7.8,9.5,5.9,4.5,4.1,3.5,3.8,11.1,8.5,5.4,6,7.7,10.4,8.9,8.7,6.4,4.6,4.2,6.1,3.5,3.8,4,14.2,8,
54012,Nitrogen Oxides,2020-01-27,10.9,7.8,7.2,7.6,6.2,7.2,4.9,4.8,9.4,5.4,4.7,3.2,2.8,2.7,3.3,4.8,3.2,3.4,3.3,3,2.3,6.8,2.6,2.4,
54012,Nitrogen Oxides,2020-01-28,6,1.7,2.7,3.3,3.4,2.4,14.7,5.5,4.2,3.1,2.5,2.5,1.7,2.1,1.8,3.9,3,6.9,7.8,16.1,4.7,4.9,5.6,4.3,
54012,Nitrogen Oxides,2020-01-29,2.2,2.5,11.5,3.8,4.5,2.7,2.6,4,5.4,3.8,3,2.5,2.1,2.3,2.4,2.4,2.2,4.2,13.8,11.8,21.6,21.6,8.2,10.3,
54012,Nitrogen Oxides,2020-01-30,13.4,13.4,14.9,10,13.8,13.6,12.4,17.2,22.7,15.6,10.9,7.3,5.6,5.9,7.1,5.2,4.7,4.4,9.1,19.6,40,47.3,21.1,13,
54012,Nitrogen Oxides,2020-01-31,19.3,11.2,11.9,10.3,9.3,10.1,16.4,12.7,15.6,17.8,15.3,17.8,10.2,8.3,8.4,9,8.8,9.6,7.8,10.8,15.5,23.1,14.3,11.3,
54012,Nitrogen Oxides,2020-02-01,29.9,20.9,24.4,24.7,28.4,24.7,12.5,6.8,8.1,8.3,7.3,7,6.3,5.1,4.7,4.8,5.1,3.6,4.1,7.5,4.9,5.3,3.9,2.2,
54012,Nitrogen Oxides,2020-02-02,2.2,2.1,2.3,2.4,2.5,2.7,8.2,4.9,3.9,5.4,6.2,5.9,5.8,5.1,4.8,3.2,2.2,2.2,3.2,3.7,3.4,8.9,34.5,37.8,
54012,Nitrogen Oxides,2020-02-03,36.1,13.4,10.4,4.7,6.3,8.7,21.9,9.7,8.1,4.8,4.5,5.3,5.3,5.9,2.9,2.5,3.1,13.9,9.2,9.4,18.1,34.6,44.4,67.5,
54012,Nitrogen Oxides,2020-02-04,85.9,62.6,26.9,18,11.9,7.6,6.1,11.9,15.6,11.1,6.7,4.4,4.1,2.1,2.2,2.5,3.5,3,3.4,4.4,2.3,1.6,1.3,4.1,
54012,Nitrogen Oxides,2020-02-05,1.4,1.6,2.2,2.4,3.2,2,8.6,6.4,5.9,5.8,14.2,7.2,4.6,6.9,2.1,1.9,1.4,1.2,1.3,1.2,1,1,1,2.9,
54012,Nitrogen Oxides,2020-02-06,23.3,53.3,99.8,69.5,79.2,69.9,48.4,48.9,46.2,67,63.2,70.1,24.3,14.3,58.8,84.7,91.1,77.9,106,94.4,20.8,21.4,17.2,6.8,
54012,Nitrogen Oxides,2020-02-07,10.8,28.1,44.3,5.8,3.6,6.6,11.7,7.5,9.8,3.7,3.7,3.4,3.6,2.8,2.4,2.6,2.9,2.4,2.2,1.6,1.8,2.1,2.1,4.8,
54012,Nitrogen Oxides,2020-02-08,4.1,2.9,6,2.4,2,2.2,2.6,8.1,3.5,2.1,1.9,1.5,1.9,1.9,1.6,1.6,1.7,1.8,3.3,9.9,64.7,14.2,15.8,18.3,
54012,Nitrogen Oxides,2020-02-09,31.6,54.4,38.3,21.3,16.8,16.7,20,20.2,17.6,9.8,6.4,6.7,5.7,2.9,2.4,2.7,3.4,6,4.6,3.9,3.1,1.8,1.9,1.8,
54012,Nitrogen Oxides,2020-02-10,1.6,1.8,3.6,1.8,2.9,2.5,3,7.1,7.3,8.5,6.4,5.7,4.2,5.6,3.6,3.7,5,4.7,4.4,4.8,3.5,2.4,1.2,20,
54012,Nitrogen Oxides,2020-02-11,15,9,7.8,4,3.4,3.6,5.5,10.5,9.9,5.9,3.9,6.2,2.6,3.2,4.5,7.5,7,8.9,8.8,7.4,5.1,3.2,3,4.3,
54012,Nitrogen Oxides,2020-02-12,2.3,3.2,2.8,6.5,4.4,12.2,5.7,5.8,5.8,5.9,2.8,3.7,2.7,3.1,8.6,5,2.8,2.5,2.7,5.2,4.1,3.7,13.9,11.8,
54012,Nitrogen Oxides,2020-02-13,11.6,3.7,2.9,3.2,3,6.4,9.8,37.6,17.7,10.8,7.3,6.4,6.5,8.5,8.9,5.9,6.5,4.5,3.2,3.4,2.8,2.6,2.2,2,
