Belleville, (54012) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Belleville (54012)
Address,2 Sidney St., Water Treatment Plant
Latitude,44.150528
Longitude,-77.3955
Elevation, 75 metres
Air intake height,10 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
54012,Fine Particulate Matter,2020-01-01,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,3,3,7,14,13,16,13,23,
54012,Fine Particulate Matter,2020-01-02,27,22,12,13,12,11,10,7,6,5,4,5,5,5,5,5,7,7,6,6,6,7,9,12,
54012,Fine Particulate Matter,2020-01-03,12,10,10,10,14,16,14,12,15,12,11,10,13,12,10,8,6,6,6,7,6,5,3,3,
54012,Fine Particulate Matter,2020-01-04,4,4,5,6,5,4,4,7,9,8,6,6,5,5,1,2,4,5,5,6,6,3,2,2,
54012,Fine Particulate Matter,2020-01-05,1,1,1,1,1,1,2,4,4,5,5,5,5,4,4,6,7,5,8,8,8,14,4,2,
54012,Fine Particulate Matter,2020-01-06,3,3,3,3,4,4,6,11,15,11,5,4,2,1,3,6,7,6,6,3,1,3,2,3,
54012,Fine Particulate Matter,2020-01-07,2,2,2,2,6,5,5,5,3,3,3,3,3,2,2,3,6,6,5,6,7,10,4,4,
54012,Fine Particulate Matter,2020-01-08,4,5,12,12,9,3,3,1,1,1,1,0,0,0,1,1,1,1,1,2,2,1,2,1,
54012,Fine Particulate Matter,2020-01-09,1,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,3,4,3,4,7,6,5,7,
54012,Fine Particulate Matter,2020-01-10,6,9,11,6,7,6,8,8,6,6,4,5,5,8,6,8,13,5,6,3,3,5,6,8,
54012,Fine Particulate Matter,2020-01-11,9,7,4,5,11,9,7,7,6,8,6,7,7,4,4,3,3,4,3,4,3,1,1,3,
