Cornwall, (56051) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Cornwall (56051)
Address,Bedford St./3rd St. W.
Latitude,45.017976
Longitude,-74.735339
Elevation, 55 metres
Air intake height,4 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
56051,Nitrogen Dioxide,2020-01-01,3,2.7,2.8,2.4,2.5,2.3,2.3,1.9,1.5,1.7,1.7,1.7,1.6,2,2,1.9,1.9,1.6,1.5,1.8,1.7,1.5,1.4,1.5,
56051,Nitrogen Dioxide,2020-01-02,1.7,2.3,3.1,2.7,3.9,5.4,3.3,4,5.4,3.6,3.3,3,2.9,3.2,3.5,3.4,4,5.3,5.4,3.2,2.5,2.6,2.7,3.5,
56051,Nitrogen Dioxide,2020-01-03,3.5,3.8,3.6,3.5,3.8,4.7,4.9,4.7,5.1,4.5,4.9,4.2,5.2,5.4,5.2,5.9,7.4,8.5,9.2,7.6,7.4,8.1,9.6,6.8,
56051,Nitrogen Dioxide,2020-01-04,8.1,6.2,11.3,15.8,23.4,26.7,28.3,28.1,19.9,8,4.6,3.8,3.2,6.9,3.2,8.9,11.8,8.8,7.6,7.2,7.5,6.4,6.1,4.4,
56051,Nitrogen Dioxide,2020-01-05,2.2,2.3,1.7,1.5,1.3,1.6,1.3,1.4,1.9,1.7,2.3,2.2,2,1.5,1.8,2.1,2.8,4.6,5.6,10.6,16.5,24.2,30.7,27.5,
56051,Nitrogen Dioxide,2020-01-06,14.7,9,8.5,9999,3.2,3.3,3.7,8.8,12.2,6.4,6.1,6.5,6.5,15.8,19.6,23.2,25.3,29.6,24.4,23.9,30.9,24.1,5.5,2,
56051,Nitrogen Dioxide,2020-01-07,1.9,2.1,2.6,2.6,2.9,3.2,3.6,10.9,9.5,4.8,3.4,1.9,1.9,2.5,3,10.6,19.8,14.1,14.8,13.3,9.2,4.5,3,6.1,
56051,Nitrogen Dioxide,2020-01-08,4.9,4.3,4.4,16.6,23.7,6.7,3.9,4.6,4.6,4.2,4.5,4.1,2.8,2.7,2.3,2.2,1.7,1.6,1.6,2,2.6,2.4,2.2,2.1,
56051,Nitrogen Dioxide,2020-01-09,2.2,2.3,2.6,2.3,2.8,3.5,6,7.2,5.7,4.4,2.4,2.4,1.9,2,1.9,3.3,7.7,7,8.1,4.6,5.4,4.3,4.9,6.4,
56051,Nitrogen Dioxide,2020-01-10,11,7.9,9.4,13.4,11.7,15.6,21.4,22,18.1,6.5,6.8,4.9,6.6,5.6,6.6,5.5,6.1,4.9,4.3,3.9,4,4.3,4.3,5.7,
