Cornwall, (56051) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Cornwall (56051)
Address,Bedford St./3rd St. W.
Latitude,45.017976
Longitude,-74.735339
Elevation, 55 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
56051,Nitrogen Oxides,2020-01-01,3.3,3,3.1,2.7,2.9,2.7,2.6,2.3,1.8,2.2,2.1,2.2,2,2.4,2.5,2.3,2.2,1.8,1.8,2.1,1.9,1.7,1.6,1.7,
56051,Nitrogen Oxides,2020-01-02,1.8,2.6,3.3,2.8,4.1,5.7,3.5,4.3,6.3,4.1,3.9,3.7,3.4,3.8,4.1,3.7,4.2,5.5,5.8,3.4,2.6,2.7,2.8,3.7,
56051,Nitrogen Oxides,2020-01-03,3.7,4,3.8,3.7,4,5.1,5.3,5.2,5.7,5,5.9,4.9,6.1,6.4,5.9,6.5,8.2,9.2,10,8.2,8,8.9,10,7.2,
56051,Nitrogen Oxides,2020-01-04,8.6,6.5,11.9,17.5,27.5,41.2,48.1,47.3,27.4,9.2,5.4,4.3,3.7,8.4,3.8,9.8,12.7,9.3,8,7.5,7.9,6.7,6.4,4.6,
56051,Nitrogen Oxides,2020-01-05,2.4,2.6,2,1.7,1.5,1.8,1.5,1.7,2.4,2.1,3,2.9,2.5,1.9,2.2,2.7,3.4,5.1,6,11.2,17.3,29.4,50.6,39.9,
56051,Nitrogen Oxides,2020-01-06,15.2,9.4,8.9,9999,3.5,3.7,4.1,9.5,13.7,7.6,7.4,8.3,8.5,23.2,27.8,30.6,28.9,33.5,28.1,28.8,51.5,32.7,6,2.2,
56051,Nitrogen Oxides,2020-01-07,2.2,2.5,3.1,3.1,3.2,3.6,4,12,10.7,5.9,4.5,2.4,2.4,3.2,3.6,12.6,21.1,14.3,15.1,13.4,9.5,4.7,3.1,6.4,
56051,Nitrogen Oxides,2020-01-08,4.9,4.3,4.4,17.6,25.1,6.9,4.2,5,5.3,5.2,6.1,5.2,3.5,3.6,3.2,3.3,2.2,2,2,2.5,3.3,3,2.7,2.7,
56051,Nitrogen Oxides,2020-01-09,2.6,2.7,3.1,2.6,3.3,4.1,6.8,8.2,6.9,5.8,3.3,3.5,2.6,2.7,2.4,3.8,8.5,7.5,8.6,5.1,5.9,4.6,5.2,6.6,
56051,Nitrogen Oxides,2020-01-10,11.7,8.1,9.6,13.9,12,16.1,22.8,25.1,25.5,9.3,10.4,6.3,9.5,7.2,9,7.1,7.7,5.5,4.6,4.3,4.4,4.7,4.7,6.1,
56051,Nitrogen Oxides,2020-01-11,8.4,10.1,15,10.8,6.6,7.1,7,6.4,3.2,2.6,2.4,3.7,3.1,3,4.1,4.9,4,4.1,4.5,3.7,3.7,3.2,3.8,2.5,
56051,Nitrogen Oxides,2020-01-12,2.3,1.8,2,2.5,2.8,3.6,3.3,3.1,3,5.1,3.3,3.1,3.7,4.4,3.8,3.5,3,4.8,3.2,2.8,6.2,6.6,4,6.5,
56051,Nitrogen Oxides,2020-01-13,9.1,8.2,7.9,9999,6.4,3.7,4.1,5.4,13.8,14.6,18,19.3,21.5,22.1,19.6,19.5,25.1,26.1,24.6,21,19.4,19.1,19.8,21.2,
56051,Nitrogen Oxides,2020-01-14,18.8,8.4,7.3,8,9,10.3,10.5,9.7,9.2,11.4,7.3,6.7,13.6,12.7,9.6,9.5,10.2,8.4,9.2,9.2,10.2,10.2,13.1,12.6,
56051,Nitrogen Oxides,2020-01-15,13.2,14.3,12.1,10.4,9.8,9.6,8.9,9.1,10.7,9.7,9,10.2,8.8,8.9,7.3,7.3,7.9,10.9,10,6.8,5.2,6.3,10.8,7.6,
56051,Nitrogen Oxides,2020-01-16,8.2,8.4,9.1,10.4,12.4,10,6.9,7.6,8.3,8.7,7.2,7,5.2,4.6,3.5,3.2,3.4,3,3.1,2.9,2.6,2.9,2.6,2.6,
56051,Nitrogen Oxides,2020-01-17,2.5,2.3,2.6,2.7,3,4.6,5.5,6.6,6.8,4.6,5.7,4.9,5.1,5.4,4.7,5.8,6.1,5.8,5.4,7.6,9,7.7,7.7,6.3,
56051,Nitrogen Oxides,2020-01-18,4.5,4.4,5.2,5.6,4,2.7,4.3,5.6,10.4,8.1,6.3,3.3,3.3,4.2,4.7,4.6,4.6,4.1,4.3,5,6,5.6,7.4,12.3,
56051,Nitrogen Oxides,2020-01-19,8.5,9.1,11.2,13,12.4,10.4,12.6,19.5,13.6,9.7,7.7,6.2,5.3,7.9,6.4,7.4,6.4,5.9,6.2,3.8,3.5,4.7,7.4,6.9,
56051,Nitrogen Oxides,2020-01-20,7,11.9,9.8,9999,12.1,7.9,8.6,11,9.2,6.5,5.4,4.8,5.1,3.8,4.5,5.1,4.6,4.6,4.4,5.6,13.7,12.5,10.1,12.6,
56051,Nitrogen Oxides,2020-01-21,20.7,20.7,15,25.5,14.1,15.5,15.9,8.2,7.9,8.4,7.1,4.8,3.9,3.9,3.9,3.4,5.1,4.4,3.4,3,2.9,4,5.1,4.9,
56051,Nitrogen Oxides,2020-01-22,4.4,4.5,4.2,4.4,5.5,6.4,7.4,10.3,11.3,9.5,6,4.6,3.9,3.9,3.9,4.2,4.9,6.3,6.2,4.1,3.1,2.8,3,2.6,
56051,Nitrogen Oxides,2020-01-23,2.7,2.6,3.1,3.5,3.1,3.4,5.8,11.6,20.9,9.4,5.9,6.5,6.4,6.3,7.4,13.3,21.1,51.7,78.1,89.8,44.2,68.6,95.4,59.6,
