Cornwall, (56051) Hourly, Ground-level ozone (O3) Concentrations
Station,Cornwall (56051)
Address,Bedford St./3rd St. W.
Latitude,45.017976
Longitude,-74.735339
Elevation, 55 metres
Air intake height,4 metres
Pollutant,Ozone (ozone O3)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
56051,Ozone,2020-01-01,20,22,21,21,21,22,24,25,26,26,27,27,27,25,24,25,26,27,28,28,29,31,36,36,
56051,Ozone,2020-01-02,35,34,33,32,30,27,29,28,27,29,30,31,33,33,33,34,33,31,31,32,34,33,32,31,
56051,Ozone,2020-01-03,31,29,28,28,27,26,25,25,24,24,24,24,23,22,23,22,20,17,16,16,16,15,15,19,
56051,Ozone,2020-01-04,17,20,15,11,4,1,0,0,6,18,24,26,26,23,24,19,16,17,19,19,20,21,21,23,
56051,Ozone,2020-01-05,26,25,26,27,30,30,29,28,29,30,29,30,30,32,31,30,29,27,25,19,13,6,0,4,
56051,Ozone,2020-01-06,16,21,22,9999,27,27,26,20,16,22,23,23,23,16,13,9,6,2,6,6,1,7,30,34,
56051,Ozone,2020-01-07,34,32,31,30,29,28,27,20,21,26,27,29,30,33,35,28,18,22,21,22,26,30,31,27,
56051,Ozone,2020-01-08,28,28,28,15,9,26,28,25,24,24,24,28,32,33,31,30,30,27,27,27,27,28,29,29,
56051,Ozone,2020-01-09,30,31,32,32,31,31,29,28,29,30,32,32,33,33,33,32,28,28,26,30,28,29,28,26,
56051,Ozone,2020-01-10,22,24,22,18,18,15,9,8,16,27,26,28,27,28,27,27,26,26,26,26,25,24,24,21,
56051,Ozone,2020-01-11,17,13,9,12,16,13,12,15,28,29,31,29,28,28,26,22,18,16,15,21,21,21,21,24,
56051,Ozone,2020-01-12,26,28,30,30,29,28,28,28,28,27,29,29,29,30,31,31,32,31,32,32,29,28,30,28,
56051,Ozone,2020-01-13,25,26,26,9999,25,29,28,26,19,19,17,18,17,17,17,17,11,8,8,11,12,11,10,8,
56051,Ozone,2020-01-14,10,19,21,20,19,17,18,19,18,18,23,24,18,20,23,25,23,25,23,22,21,20,18,19,
56051,Ozone,2020-01-15,17,14,15,15,15,14,14,13,12,13,14,15,17,18,20,21,20,15,12,16,20,19,16,20,
