Cornwall, (56051) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Cornwall (56051)
Address,Bedford St./3rd St. W.
Latitude,45.017976
Longitude,-74.735339
Elevation, 55 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
56051,Fine Particulate Matter,2020-01-01,5,6,6,6,5,5,4,3,3,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,
56051,Fine Particulate Matter,2020-01-02,2,4,5,7,6,6,6,5,5,5,4,4,4,3,3,3,4,5,6,5,5,4,5,5,
56051,Fine Particulate Matter,2020-01-03,4,6,6,6,6,6,7,7,8,8,8,9,10,10,9,9,9,11,12,13,12,12,11,7,
56051,Fine Particulate Matter,2020-01-04,8,7,7,6,6,8,11,7,5,3,2,2,2,2,3,4,5,6,7,7,6,6,6,5,
56051,Fine Particulate Matter,2020-01-05,3,3,3,3,2,2,2,2,3,3,3,3,3,2,3,3,2,3,4,4,4,6,7,5,
56051,Fine Particulate Matter,2020-01-06,5,4,4,4,4,4,3,5,5,4,4,4,5,6,7,8,8,10,10,10,12,9,4,3,
56051,Fine Particulate Matter,2020-01-07,3,3,4,3,4,3,3,4,4,5,4,3,4,3,3,3,4,5,6,6,5,4,4,4,
56051,Fine Particulate Matter,2020-01-08,6,7,6,7,6,5,6,9,9,8,8,5,3,3,3,2,3,3,3,3,3,3,3,3,
56051,Fine Particulate Matter,2020-01-09,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,4,5,5,4,4,4,4,4,
56051,Fine Particulate Matter,2020-01-10,4,4,4,5,5,6,6,7,6,5,5,5,5,6,7,7,7,8,8,8,7,7,7,8,
56051,Fine Particulate Matter,2020-01-11,9,9,9,8,6,6,5,5,5,5,5,5,6,5,5,5,4,5,5,5,5,5,4,3,
56051,Fine Particulate Matter,2020-01-12,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,4,5,5,4,4,4,4,3,
56051,Fine Particulate Matter,2020-01-13,3,3,3,4,4,4,4,5,7,7,8,9,9,9,10,10,10,12,13,14,14,15,15,15,
56051,Fine Particulate Matter,2020-01-14,15,15,12,13,13,12,12,10,10,10,8,11,21,20,16,13,14,14,15,15,15,15,13,12,
56051,Fine Particulate Matter,2020-01-15,14,16,21,27,29,30,24,22,23,19,15,13,11,9,7,7,7,10,13,10,8,7,6,6,
56051,Fine Particulate Matter,2020-01-16,6,6,7,7,8,8,7,6,5,4,4,3,2,2,3,3,3,3,3,3,3,3,3,3,
56051,Fine Particulate Matter,2020-01-17,3,3,3,3,3,3,3,4,7,6,5,4,5,5,4,4,4,5,6,6,7,6,8,8,
56051,Fine Particulate Matter,2020-01-18,9,10,9,9,7,6,5,5,6,7,8,6,6,7,7,7,8,9,9,8,7,7,7,7,
