Peterborough, (59006) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Peterborough (59006)
Address,10 Hospital Dr.
Latitude,44.301918
Longitude,-78.34622
Elevation, 226 metres
Air intake height,10 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
59006,Nitrogen Dioxide,2020-01-01,1,0.9,0.8,0.8,0.8,1,1,1,0.7,0.9,0.9,0.8,0.8,0.9,1.1,1.2,1.3,1.5,1.4,3,3.8,6.4,13.2,9.5,
59006,Nitrogen Dioxide,2020-01-02,7.3,7.7,6.8,7.5,7.9,8,9.8,9,9.2,7.1,6.9,7.5,8.2,8.8,10.1,10.2,8.9,9.3,7.7,7.2,7.7,8.9,9.1,8.5,
59006,Nitrogen Dioxide,2020-01-03,8.2,7.5,6,6.3,6,5.1,7.7,10.1,23.1,19.4,10,7.3,5.1,4.1,3.5,3.4,3.6,3.4,5.1,4.6,3.9,5.6,4,5.8,
59006,Nitrogen Dioxide,2020-01-04,4.6,4.4,3.6,3.2,3.7,3.1,4.2,4.1,4,2.8,2,1.7,1.6,1.6,2,2.5,3.2,2.9,2,1.6,1.1,0.9,1,0.8,
59006,Nitrogen Dioxide,2020-01-05,1.3,0.7,0.5,9999,0.6,0.6,0.7,1.2,0.9,0.7,0.6,0.7,0.9,0.9,0.9,1.1,3.6,9.1,9.5,9,4,4.7,4.7,4.4,
59006,Nitrogen Dioxide,2020-01-06,4.6,6,6.5,4.7,6.1,3.9,3.4,3.1,2.9,1.6,1.2,1.3,1.1,1.2,1.3,1.6,2,2.3,1.5,1,1,1.3,1.6,1.2,
59006,Nitrogen Dioxide,2020-01-07,2.2,1.1,1.2,1.2,2.3,4.8,20.9,30.8,33.8,31.5,17.6,10.2,6.8,6.8,6.8,10.8,12.9,19,21.8,21.4,15.1,10.3,9.6,9.1,
59006,Nitrogen Dioxide,2020-01-08,7.7,3.7,3.3,3.3,2.6,2,1.9,2.4,3,1.6,1,0.8,0.9,0.9,0.9,1,1.1,1.9,1.9,1.3,1,1.1,1.2,1.6,
59006,Nitrogen Dioxide,2020-01-09,1.8,2.8,5,5.9,5.1,6.6,11.9,20.3,18.7,9,5.3,3.3,2.6,3.5,3.9,4.3,5.2,4.7,5.3,5.5,5.7,4.4,5.1,5.9,
59006,Nitrogen Dioxide,2020-01-10,6.2,4.6,5.4,3.4,3.3,4.9,8.3,7.1,8.7,9,9.1,8.7,9.2,9.2,9.7,10.7,11.7,14.5,18.2,16.2,14.3,16,15.5,17.7,
59006,Nitrogen Dioxide,2020-01-11,17.7,15.1,10.3,7.9,9.6,12.7,5.7,3.8,5.8,5.5,7.2,4.8,4.3,4,1.9,1.8,1.6,1.8,2.4,2.2,1.5,1.2,1,1,
59006,Nitrogen Dioxide,2020-01-12,0.8,0.8,0.7,9999,0.9,1.1,0.9,1,0.7,0.8,0.9,0.6,0.8,0.7,0.8,1.2,1.8,3.6,2.9,3.5,5,3,4.7,9.2,
59006,Nitrogen Dioxide,2020-01-13,13.7,5.2,2.8,2,2.1,2.6,2.8,4.1,6.1,5.8,6.3,5.6,4.7,6,8.3,10,12.8,11.5,10.1,6.3,5.1,4.4,4.6,3.7,
59006,Nitrogen Dioxide,2020-01-14,4.5,8.5,18.8,19.2,10.4,4.1,4.6,4.7,5,5,4.4,4.6,4.5,5,5.1,4.6,6,6.2,5.6,8,11.3,11,10.3,11.9,
59006,Nitrogen Dioxide,2020-01-15,10.1,7.1,4.4,3.6,3.3,3.2,3.9,5.3,6.7,8.3,7.7,4,4,4.3,6,8.2,15.1,22.4,16.2,15.1,10.8,10.2,11.9,8.4,
59006,Nitrogen Dioxide,2020-01-16,4.5,5.3,4.7,3,2.9,3.1,2.7,2.4,3.1,1.9,1.8,1.3,1.3,1.2,1.1,1.3,1,1,0.9,0.9,0.8,0.9,1,0.7,
59006,Nitrogen Dioxide,2020-01-17,0.8,1.3,1.3,1.6,1.6,2.2,2.8,3.6,3.3,1.6,1.2,0.8,1.2,1,1.2,2,3,11.4,25.9,16.1,9.7,10,13.3,12,
59006,Nitrogen Dioxide,2020-01-18,7.9,5.2,5.8,4.2,4,3.4,5,4.5,4,3.3,3.2,3,2.9,2.5,2.7,3.3,3.3,5.7,7.8,4.1,4.3,4.8,4.9,5.9,
59006,Nitrogen Dioxide,2020-01-19,6.8,15.4,22.8,9999,1.7,1.6,1.7,1.5,2.1,2.9,3.1,2.4,1.4,1.2,1,1,1.5,2.5,4.2,5.3,4.9,3.7,2.8,4.4,
59006,Nitrogen Dioxide,2020-01-20,6.1,6.6,3.8,2.7,2,2,3.8,5,4.3,3.3,2.6,2.1,1.3,1.6,1.7,2.5,3.9,6.2,18.2,24.6,17.3,6.8,3.3,3.6,
59006,Nitrogen Dioxide,2020-01-21,4.4,10.3,14.3,11.4,11.9,12,16.1,39,46.9,48.1,43.4,29.5,8.4,3.1,2,2.8,3.3,5.2,7.2,6.3,6.8,5,5.1,7.7,
59006,Nitrogen Dioxide,2020-01-22,9.2,7.4,8.4,8.8,11.2,16.9,30.4,31.6,31.6,14.5,11.2,11.9,8.5,7.9,7,8.2,8.7,10,9.4,10,10.5,10.8,11.2,11.5,
59006,Nitrogen Dioxide,2020-01-23,12.3,10.9,10.3,18.4,29.5,35,37.3,38,39.4,49.2,31.1,20.2,16.9,12.9,12.6,14.4,21,29.3,35.9,25.9,33.8,30.2,19.9,22.5,
59006,Nitrogen Dioxide,2020-01-24,18.2,13.2,11.6,10.3,8.9,7.8,8.9,9.2,10.2,7.3,6.6,5.5,5.7,6.4,6.3,7.1,8.1,8.4,7.6,8.7,8.9,10.5,9.1,8.2,
59006,Nitrogen Dioxide,2020-01-25,7.5,8.4,7.9,8.6,8.4,7.3,6.6,8,7.7,7.1,7.3,7.6,6.3,7,6.8,7.3,9.4,9.8,9.4,9.1,11,11.1,8.1,9.5,
59006,Nitrogen Dioxide,2020-01-26,9.3,7.5,11.4,9999,8.3,9,10.2,8.5,9.2,7.7,6.7,5.8,5,4.8,4.2,4.8,4.8,4.5,6.3,6.2,5.9,3.1,2.7,2.6,
59006,Nitrogen Dioxide,2020-01-27,2.5,2.1,2,1.9,1.7,2.5,2.7,2.2,2.5,2.5,2.3,1.9,1.8,1.6,1.8,2.1,2.2,1.7,1.6,1.6,1.5,1.8,1,1,
59006,Nitrogen Dioxide,2020-01-28,0.8,1.1,1.1,1.4,1.3,1.6,2.1,3.4,3.6,2.7,1.9,2.3,2,1.8,1.8,2.3,3.4,2.3,1.7,1.1,1.1,1.3,1.2,1,
59006,Nitrogen Dioxide,2020-01-29,1.7,2,2.5,2,1.8,2.3,7.7,10.9,4.1,2,1.5,1.3,1.7,1.7,1.6,1.7,4.2,15.4,26.7,25.7,27.1,30.4,15.2,7.7,
59006,Nitrogen Dioxide,2020-01-30,9.2,10.9,10.9,9,7.1,10.7,11.7,9.7,8.3,7.5,5.1,3.9,3.7,4.4,4.1,4.7,5.8,14.8,34.2,36.5,34.6,32.7,31.3,28,
59006,Nitrogen Dioxide,2020-01-31,21,21.1,14.6,10.9,18.4,19.6,13.6,17.1,20.8,16.6,10.5,14.3,11.1,9.4,9.6,6.9,8.1,12.2,12.1,9.2,11.7,15.2,23,24.6,
59006,Nitrogen Dioxide,2020-02-01,27.6,24.7,23,28,29.5,24.3,31.1,29.6,25.8,20.6,13,5.9,3.9,5.6,5.7,5.2,5.1,5.6,5.6,5.3,6.8,6.6,8.4,6.7,
59006,Nitrogen Dioxide,2020-02-02,4.9,5.4,5.8,9999,6,6.5,6.9,9.7,9.5,7,6.4,5.1,5.7,5.5,6.4,6.4,5.6,6.4,7.6,6.6,6.5,8.2,6,6.2,
59006,Nitrogen Dioxide,2020-02-03,10.6,11.1,5.5,4.2,3.3,2.6,3,3.2,3.4,2.7,2.4,2.3,1.7,1.5,1.7,2.2,2.4,4.1,17.1,28.7,26.3,29.3,26.7,14.3,
59006,Nitrogen Dioxide,2020-02-04,11.7,21.7,8,3.5,3.2,2.4,5.2,7.3,4.6,3.8,2,1.7,1.4,1.6,1.5,1.6,2.4,2.2,1.9,1.1,0.9,0.9,0.7,0.5,
59006,Nitrogen Dioxide,2020-02-05,0.5,0.7,0.7,0.9,1.1,1,1.9,4.1,3.8,1.2,1,0.8,0.7,0.6,0.8,1,1.8,4.6,11.2,16.2,11.3,10.1,7.7,6.5,
59006,Nitrogen Dioxide,2020-02-06,3.9,3.6,3.1,2.7,2.5,2.8,3.7,4.2,4,3,2.3,2.4,1.7,1.6,2.1,2.3,2.8,2.8,2.2,1.9,2.1,1.8,1.7,1.3,
59006,Nitrogen Dioxide,2020-02-07,1.9,1.6,1.8,1.4,1.5,1.7,2,2.3,1.9,2.1,1.7,1.1,1.5,1.2,1.3,1.2,1,1.2,1.5,1.2,1.2,1.2,1.2,1.6,
59006,Nitrogen Dioxide,2020-02-08,2.1,2.4,2.3,2.6,2.9,3.3,3.5,5.3,2.8,1.5,1,0.7,0.6,0.6,0.5,0.6,0.9,5.7,21.9,34.3,37,35.7,38.7,39,
59006,Nitrogen Dioxide,2020-02-09,28.2,17.8,18.1,9999,17.6,14,11.7,11.4,10.7,9.2,8,6.5,8.2,6.2,5.4,4.4,5.4,7.3,7.5,9.4,5.8,3.9,3.3,3.1,
59006,Nitrogen Dioxide,2020-02-10,2.8,2.6,3.7,4.4,4.6,6.9,7.5,6.1,5.3,4.5,4.1,3.7,3.5,2.7,3,2.6,2.9,3.2,5.3,5.4,5.1,3.6,3,3,
59006,Nitrogen Dioxide,2020-02-11,2.1,2.7,3.5,3.2,5.8,8,11.8,17,10.4,4.8,2.5,2.2,2.4,2.6,3,3,4.7,4,2.9,2.4,2.3,2.2,2,1.9,
59006,Nitrogen Dioxide,2020-02-12,1.5,1.7,1.6,1.7,1.9,2.1,4.1,5.8,4.5,3.8,4.8,7.3,6.9,7.8,9,8.5,7.6,6.9,6.5,7,7.3,9.1,9,10.6,
59006,Nitrogen Dioxide,2020-02-13,12.6,12.8,12.3,10.3,9.1,7,6.4,8,8.4,6.3,4.6,4.6,4.1,3.4,2.8,2.6,2.4,2.2,1.7,1.6,1.5,1.1,1.1,1.1,
59006,Nitrogen Dioxide,2020-02-14,1.4,2.1,2.3,2.2,2.4,3.1,4.1,6.9,3.8,1.4,1.8,1.3,1.2,1.3,0.9,1.8,2.4,2.4,8.3,11,14.2,12.5,11.2,10.2,
59006,Nitrogen Dioxide,2020-02-15,8.1,5.9,4.3,4.5,4.8,5.4,5.6,6.3,10.4,5.8,6.1,5.1,4.8,4.4,4,4.9,6.4,5.2,5.2,5.1,5.4,6.6,6.2,4.1,
59006,Nitrogen Dioxide,2020-02-16,4.1,3.9,3.5,9999,3.1,3.1,3.3,3.5,3.2,2.8,2.5,2.7,2.3,2.3,2.2,2.4,2.8,2.8,2.5,2.3,2.4,2.1,3.9,4.7,
59006,Nitrogen Dioxide,2020-02-17,3.9,2.1,2.1,2.7,3.6,4.6,4.1,3.3,2,1.3,0.8,0.7,0.9,1.2,1.5,1.7,1.8,2.6,5.4,5.5,4.4,3.7,4.5,3,
59006,Nitrogen Dioxide,2020-02-18,2.8,4.8,4.2,4.8,4.8,3.8,4.9,6.5,9.9,6.6,6.8,6.8,6.6,6.7,6.4,4.2,2.8,2.1,1.7,1.5,1.3,1,0.8,0.6,
59006,Nitrogen Dioxide,2020-02-19,0.6,0.9,0.8,0.7,0.7,0.9,1,1.4,1.6,0.7,0.7,0.7,0.5,1.1,0.7,0.9,1.1,2,2.1,2.8,1.9,1.7,1.5,1.5,
59006,Nitrogen Dioxide,2020-02-20,1.3,1.7,1.2,1.4,2.9,3.5,4.6,5.3,2.5,1,0.8,0.7,0.6,0.6,0.8,1.1,1.1,1.7,3.3,2.6,2.5,4.2,3.8,5.7,
59006,Nitrogen Dioxide,2020-02-21,15.1,6.2,13.2,27.8,26.6,9,14.3,16.5,10.4,6.6,9999,9999,9999,-999,-999,9999,4.3,5.7,10.4,10.3,9.1,9,8.8,9.1,
59006,Nitrogen Dioxide,2020-02-22,8.8,6.9,6.6,6.3,5.9,5.4,4.5,4.8,3.8,3.2,2.9,3.1,3.2,4.4,3.8,3.5,3.9,5.7,11,9.1,8.2,8,8.9,9,
59006,Nitrogen Dioxide,2020-02-23,10.1,9.9,9.2,9.8,11.7,9.6,12.7,11.3,10,9.6,8.1,7.6,6.8,6.4,7.7,7.1,7.3,8,9,5.8,7.1,10,10,9.8,
59006,Nitrogen Dioxide,2020-02-24,10.5,8.1,8,9999,26.8,23.6,27.5,27.8,21.9,13.4,4.3,3.8,3.7,3.7,4.3,4.7,4.3,7.5,8.6,13.9,13.6,4.8,6.3,5.6,
59006,Nitrogen Dioxide,2020-02-25,8.8,4.4,3.4,3,3.4,3.3,5,8,13.8,8,3,2.2,2.2,2,2.4,3.1,2.8,6.8,8.9,8.2,2.3,2.4,2.5,1.6,
59006,Nitrogen Dioxide,2020-02-26,1.4,1.2,1.2,1.3,1.3,1.6,2,2.4,2.5,2.3,2.3,2.5,2.1,2.2,2.2,3,3.1,2.8,2.6,2.6,2.1,2.4,2.5,2.2,
59006,Nitrogen Dioxide,2020-02-27,2.2,1.1,2.5,1.6,1.3,1.3,1.3,1.7,1.3,1.1,1.3,1,0.8,0.9,1,1.1,0.9,0.9,0.8,1,1.2,2.2,1.5,1,
