Peterborough, (59006) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Peterborough (59006)
Address,10 Hospital Dr.
Latitude,44.301918
Longitude,-78.34622
Elevation, 226 metres
Air intake height,10 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
59006,Nitrogen Oxides,2020-01-01,1.1,1.2,0.9,1,0.9,1.1,1.1,1.2,1.4,1.2,1.4,1.2,1.3,1.3,1.5,1.5,1.6,1.7,1.6,3.3,4.1,6.8,14,10.6,
59006,Nitrogen Oxides,2020-01-02,8.9,9.6,8,8.7,9.3,9.2,11.7,11,10.9,8.9,9.7,11,11.1,12.3,14,13.1,11.3,11.5,9.1,8.1,8.3,10.1,10.2,9.4,
59006,Nitrogen Oxides,2020-01-03,8.9,8.2,6.4,6.6,6.5,5.3,8.4,11.1,35.4,33,12.9,9.2,6.4,5.1,4.3,4.1,4.3,4.1,6.2,5.1,4.4,6.3,4.4,6.3,
59006,Nitrogen Oxides,2020-01-04,5.1,5,4,3.6,4.1,3.5,4.7,4.9,4.6,3.6,2.8,2.5,2.2,2.2,2.7,3.1,4,3.3,2.4,1.9,1.6,1.2,1.3,1.1,
59006,Nitrogen Oxides,2020-01-05,2.4,1.1,0.7,9999,0.9,0.9,1,1.6,1.2,1.1,1.1,1.2,1.6,1.4,1.4,1.7,5.1,10.5,10.2,9.7,4.6,5.5,5.3,4.7,
59006,Nitrogen Oxides,2020-01-06,5.3,6.5,7,5.3,6.6,4.4,4,3.7,3.7,2.2,1.8,2,1.6,1.7,1.9,2.3,2.8,2.7,1.8,1.3,1.2,1.8,2,1.3,
59006,Nitrogen Oxides,2020-01-07,2.5,1.5,1.5,1.4,2.5,5.2,23.1,40,54.3,53.2,26.3,14.7,9.7,9.2,9.4,13.6,14.5,20.7,25.4,25.2,16.2,12.5,10.8,9.5,
59006,Nitrogen Oxides,2020-01-08,8,4,3.5,3.5,2.8,2.2,2.3,2.8,3.6,2.4,1.7,1.5,1.6,1.8,1.7,2,1.9,2.8,2.6,1.7,1.8,1.7,1.7,2,
59006,Nitrogen Oxides,2020-01-09,2.7,3.7,5.8,6.7,6,7.3,13.1,24.7,26.8,12.9,7.9,5.5,4.6,5.6,5.8,5.9,6.6,5.6,6,6.2,6.3,5.2,5.9,6.6,
59006,Nitrogen Oxides,2020-01-10,6.9,5.3,5.8,3.9,3.7,5.6,11.1,9.4,11.1,12.2,12.2,11.7,12.3,11.7,11.9,12.5,12.9,15.7,19.6,17.6,15.7,20.9,24.6,22.1,
