Peterborough, (59006) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Peterborough (59006)
Address,10 Hospital Dr.
Latitude,44.301918
Longitude,-78.34622
Elevation, 226 metres
Air intake height,10 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
59006,Fine Particulate Matter,2020-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,5,5,5,5,9,
59006,Fine Particulate Matter,2020-01-02,9,9,8,8,7,6,6,5,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,
59006,Fine Particulate Matter,2020-01-03,2,3,4,6,7,7,10,11,16,17,18,17,14,12,8,6,5,5,5,3,4,4,3,3,
59006,Fine Particulate Matter,2020-01-04,2,2,2,2,2,2,2,2,3,4,5,4,4,4,4,6,6,5,5,5,4,3,3,2,
59006,Fine Particulate Matter,2020-01-05,3,2,1,2,2,2,2,1,1,1,2,2,2,3,2,2,4,12,10,5,3,3,5,3,
59006,Fine Particulate Matter,2020-01-06,3,3,4,5,5,8,17,10,3,1,1,1,1,1,2,2,3,4,2,0,0,1,1,1,
59006,Fine Particulate Matter,2020-01-07,1,1,1,1,1,1,2,4,5,7,7,8,9,9,9,16,20,22,24,21,13,8,10,12,
59006,Fine Particulate Matter,2020-01-08,13,8,6,5,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,2,2,
59006,Fine Particulate Matter,2020-01-09,1,1,2,2,2,2,3,5,5,4,4,4,4,4,2,2,2,3,5,4,4,3,3,4,
59006,Fine Particulate Matter,2020-01-10,4,4,5,4,4,3,3,5,8,9,11,10,8,9,10,11,13,16,16,17,10,7,7,5,
59006,Fine Particulate Matter,2020-01-11,4,4,2,2,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,
59006,Fine Particulate Matter,2020-01-12,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,3,4,3,3,2,2,2,
59006,Fine Particulate Matter,2020-01-13,3,3,3,4,4,3,3,2,3,4,6,7,8,12,14,16,19,21,23,24,22,17,15,12,
