Thunder Bay, (63200) Hourly, Nitric oxide (NO) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Thunder Bay (63200),,,,,,,,,,,,,,,,,,,,,,,,,
Address,615 James St. S., MTO,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.374049,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-89.289658,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 191 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,3 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Nitrogen Oxide (nitrogen oxide NO),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63200,Nitrogen Oxide,2024-09-24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9999,9999,0.7,0.6,0.9,0.6,0.3,1.2,2.2,1.8,1.6,1.6
63200,Nitrogen Oxide,2024-09-25,9.4,9999,2.1,3,3.5,4.6,6.1,11,12.7,10,10,9.7,11.1,12.1,13.8,12.1,0,3,2.2,0.1,0.4,1.4,1,0.4
63200,Nitrogen Oxide,2024-09-26,0.1,0.3,0,0.7,0.5,2,2.5,4.6,3.3,2.6,9999,2.7,9999,0.7,1.1,0.7,1.3,1.1,0.5,0.6,2,0.2,0.8,0.9
63200,Nitrogen Oxide,2024-09-27,0.7,2.6,4,4.7,1,2.8,4.4,4.6,4,5.3,5.2,2.7,0.4,1.2,0.7,0.9,0.5,0.6,0.3,0.2,0.1,1,0.8,0.6
63200,Nitrogen Oxide,2024-09-28,0,0.1,0,0.4,0.1,0,0.1,0.4,1.9,0.7,0.5,1.6,0.3,0,0,0.3,0.1,0.2,0,0,0.1,1,0.5,0.2
63200,Nitrogen Oxide,2024-09-29,0,0.1,0,0,1,1.4,1.2,0.9,2,2.1,0.5,0.2,0.2,0.1,0.2,0.5,0.3,0.4,0.3,0.2,1,0.4,0.2,0.3
63200,Nitrogen Oxide,2024-09-30,5,4.8,1.8,9999,1.5,4.4,9.3,9.7,8,6.6,3.3,1,0.2,0.6,0.8,0.6,0.8,0.4,0.2,0.1,0,0,0,0
63200,Nitrogen Oxide,2024-10-01,0,0,0,0,0,0,0,0.8,0.7,0.2,0.1,0,0.2,0.1,0.1,0.2,0.1,0,0,0.1,0,0.2,0.3,0
63200,Nitrogen Oxide,2024-10-02,0,0,9999,0,0,0,0.4,0.4,0.3,0,0.3,0.8,0.4,1.2,0.5,0.3,1.4,0.5,0.6,0.2,2,0,0,0
63200,Nitrogen Oxide,2024-10-03,0,0,0,0,0,0,20.8,7.2,2.2,0.5,0.3,0.3,0.5,0.2,0.4,0.3,0.1,0,0,0,0,0,0.1,0.2
