Thunder Bay, (63200) Hourly, Nitrogen dioxide (NO2) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Thunder Bay (63200),,,,,,,,,,,,,,,,,,,,,,,,,
Address,615 James St. S., MTO,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.374049,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-89.289658,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 191 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,3 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63200,Nitrogen Dioxide,2024-09-24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9999,9999,2.5,1,1.9,2.1,3.7,8.1,9.5,12.1,11.5,10.3
63200,Nitrogen Dioxide,2024-09-25,15.2,9999,9.4,9.5,11.2,10.4,10.8,13.8,12.7,9.5,9.5,9,9.8,10.2,11.9,10.4,1.7,9.4,14.4,6.8,10.1,11.8,9.9,8
63200,Nitrogen Dioxide,2024-09-26,5.4,4,3.4,4.5,6.2,5.3,5.6,6.4,3.5,2.8,9999,6.5,9999,3.2,3.8,2.8,3.5,2.6,6.1,12.1,13.8,10.9,10.1,14.7
63200,Nitrogen Dioxide,2024-09-27,8.6,9,8.6,7.7,5,4.7,5.8,5.9,4.6,5.8,8.9,6.3,2.2,2.7,2.8,2.4,2.6,6.2,10.2,6.9,7.9,13,11.8,9.1
63200,Nitrogen Dioxide,2024-09-28,4.2,3.2,2.8,5.4,2.4,3.8,1.8,3.1,3.8,2.5,2.3,5.8,2.7,1.4,1.5,2.5,3.4,5.9,7.1,11.5,15.6,17.3,13.1,8.2
63200,Nitrogen Dioxide,2024-09-29,7.6,4.7,3.1,2.2,7.3,10.2,10.5,5.2,3.8,5.1,2.6,1.7,1.7,1.5,1.4,3,2.1,2.9,3.7,6.3,13,12.2,10.5,7.1
63200,Nitrogen Dioxide,2024-09-30,11.5,12.4,8.1,9999,6,6.6,6.1,6.3,5.6,6.1,6.7,2.8,1.8,1.8,1.9,2.8,4,4.9,6.9,10.9,6.5,1.4,1.1,1
63200,Nitrogen Dioxide,2024-10-01,1,0.8,0.9,1.3,1.8,3.7,4.2,7.6,3.3,1.5,1.4,1.4,1.3,1.1,1.7,1.5,1.6,1.9,3.5,5.6,7.1,15,9.7,4.5
63200,Nitrogen Dioxide,2024-10-02,4.1,3.6,9999,4.5,5,4.5,11,8.9,3.3,2.9,3.5,4.8,2.3,3.5,3.3,3.9,8.1,8.2,5.3,10.5,18.2,7.7,3.3,2.4
63200,Nitrogen Dioxide,2024-10-03,1.6,2.3,2.3,5.3,9.8,12,19.9,14.8,7.3,2.4,2,1.9,1.9,1.7,1.7,1.9,1.6,2,1.8,2.2,6.7,7.1,8.9,8.7
