Thunder Bay, (63200) Hourly, Nitrogen oxides (NOx) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Thunder Bay (63200),,,,,,,,,,,,,,,,,,,,,,,,,
Address,615 James St. S., MTO,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.374049,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-89.289658,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 191 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,3 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Nitrogen Oxides (nitrogen oxides NOx),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63200,Nitrogen Oxides,2024-09-24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9999,9999,3.2,1.6,2.9,2.7,4,9.3,11.6,13.9,13.1,11.9
63200,Nitrogen Oxides,2024-09-25,24.6,9999,11.5,12.5,14.7,15,16.9,24.8,25.4,19.5,19.5,18.7,20.9,22.3,25.7,22.5,1.4,12.4,16.6,6.9,10.5,13.2,10.9,8.3
63200,Nitrogen Oxides,2024-09-26,5.5,4.4,3.2,5.1,6.8,7.3,8,11,6.8,5.3,9999,9.2,9999,3.9,4.8,3.5,4.9,3.7,6.5,12.7,15.8,11.1,10.9,15.6
63200,Nitrogen Oxides,2024-09-27,9.4,11.6,12.6,12.4,6,7.5,10.2,10.5,8.7,11.1,14.1,9.1,2.6,3.9,3.5,3.2,3.1,6.8,10.5,7.1,8,14.1,12.6,9.8
63200,Nitrogen Oxides,2024-09-28,4.3,3.3,2.8,5.9,2.6,3.9,1.9,3.4,5.7,3.2,2.8,7.4,3,1.3,1.5,2.8,3.5,6.1,7,11.4,15.7,18.3,13.6,8.4
63200,Nitrogen Oxides,2024-09-29,7.6,4.8,3.1,2.1,8.4,11.6,11.7,6.1,5.9,7.2,3.2,1.9,1.9,1.6,1.6,3.4,2.4,3.3,4,6.5,13.9,12.6,10.7,7.4
63200,Nitrogen Oxides,2024-09-30,16.5,17.2,9.9,9999,7.5,11,15.4,16,13.6,12.7,9.9,3.9,2.1,2.4,2.7,3.4,4.8,5.3,7,11,6.4,1.3,1.1,1
63200,Nitrogen Oxides,2024-10-01,0.9,0.8,0.9,1.2,1.8,3.7,4.3,8.4,4,1.7,1.6,1.4,1.5,1.2,1.9,1.8,1.7,1.8,3.5,5.7,7,15.2,9.9,4.4
63200,Nitrogen Oxides,2024-10-02,4.1,3.5,9999,4.4,5,4.6,11.4,9.3,3.6,2.9,3.9,5.6,2.7,4.7,3.8,4.2,9.5,8.7,5.8,10.7,20.2,7.7,3.4,2.4
63200,Nitrogen Oxides,2024-10-03,1.5,2.3,2.3,5.2,9.8,12.1,40.7,22,9.6,2.9,2.3,2.3,2.4,1.9,2.1,2.2,1.7,2.1,1.7,2.1,6.7,7,9,9
63200,Nitrogen Oxides,2024-10-04,5.4,5,6.4,8,6.5,13.1,22,17.7,11.1,6,3.2,3.2,2.2,2.2,3.9,2.6,3.4,3.1,12.8,16.2,27,27.8,15,8.8
63200,Nitrogen Oxides,2024-10-05,5.6,4.8,4.4,5.8,9.1,16.8,23.2,29.8,31.9,3.4,2.1,1.7,2.1,2.1,2.1,2.1,2.7,5.4,3,4.3,8.7,2.3,2.8,11.5
63200,Nitrogen Oxides,2024-10-06,20.2,1.4,1.3,1.5,2.5,1.1,1.3,1.4,1.3,1.5,1.4,1.2,0.9,0.9,0.8,0.9,1.1,0.9,0.9,1.6,1.6,3.7,2.9,4.2
63200,Nitrogen Oxides,2024-10-07,2.8,3.2,2.1,9999,5.1,5.5,7.8,19.3,21,10.4,2.5,2,1.6,1.9,2.1,1.9,1.6,1.8,3,3.2,7.8,9,4.5,5.9
63200,Nitrogen Oxides,2024-10-08,3.7,3.3,4.6,4.4,6.6,7.6,9.7,10.9,7.9,4.6,7.3,2.8,2,2.3,1.7,1.6,1.5,2.6,2.5,4.7,10.1,14.2,8.8,14.3
63200,Nitrogen Oxides,2024-10-09,8.9,10.1,9999,11.1,11.8,9.5,9.8,32.2,12,6.8,6.4,4.4,4.4,5.2,4,2.7,6.8,16.5,6.6,13.9,22.2,17.5,13,17
63200,Nitrogen Oxides,2024-10-10,12.8,9.2,13.5,14.9,26.9,22.2,18.3,37.6,66.4,39,15.1,7.2,4.1,2.9,3.4,3,3.2,5.1,9.5,12.1,17.1,14.8,9.6,15
63200,Nitrogen Oxides,2024-10-11,16.5,9.3,13.4,9.2,13.2,17.8,23.5,20.2,4.8,3.9,3.9,3.5,4.5,4.4,3.9,2.6,1.2,1.1,2.1,2.7,5.4,5.8,5.4,3.4
