Thunder Bay, (63200) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Thunder Bay (63200),,,,,,,,,,,,,,,,,,,,,,,,,
Address,615 James St. S., MTO,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.374049,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-89.289658,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 191 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,3 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63200,Fine Particulate Matter,2024-09-24,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2,2,2,2,2,2,2,3,3,4,4,4
63200,Fine Particulate Matter,2024-09-25,4,3,3,4,3,3,3,6,6,5,5,5,4,5,4,4,4,5,8,6,7,7,7,6
63200,Fine Particulate Matter,2024-09-26,6,6,5,5,5,5,5,6,9999,9999,5,6,11,9,9,5,5,5,5,7,8,9,9,11
63200,Fine Particulate Matter,2024-09-27,9,9,9,8,7,7,7,6,5,7,6,6,5,5,4,4,4,5,5,5,6,7,8,10
63200,Fine Particulate Matter,2024-09-28,7,6,5,5,5,4,4,6,5,4,4,4,3,2,3,3,5,5,5,6,9,10,13,8
63200,Fine Particulate Matter,2024-09-29,8,6,5,5,4,5,4,3,3,3,3,3,4,4,3,4,3,4,4,5,7,7,6,6
63200,Fine Particulate Matter,2024-09-30,6,6,5,4,5,5,4,6,7,6,6,3,3,4,5,5,5,5,5,5,5,7,6,5
63200,Fine Particulate Matter,2024-10-01,5,3,1,2,2,3,4,5,5,4,3,3,4,3,3,2,3,2,3,3,9,5,5,4
63200,Fine Particulate Matter,2024-10-02,4,4,4,4,4,4,5,5,6,5,5,5,5,6,6,6,7,8,9,8,9,8,6,6
63200,Fine Particulate Matter,2024-10-03,5,5,4,4,4,4,5,5,4,3,3,3,4,4,4,4,6,13,4,4,5,6,5,7
63200,Fine Particulate Matter,2024-10-04,11,9,9,9,9,11,8,13,17,17,9,7,6,4,4,4,5,4,8,9,13,10,8,8
63200,Fine Particulate Matter,2024-10-05,7,7,6,6,5,5,5,6,6,3,3,3,2,3,3,3,3,4,4,5,6,6,7,10
63200,Fine Particulate Matter,2024-10-06,9,6,6,4,2,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,2,2,3,3
63200,Fine Particulate Matter,2024-10-07,3,3,3,4,4,4,4,4,5,4,4,3,3,3,2,3,2,2,2,2,3,4,3,3
63200,Fine Particulate Matter,2024-10-08,3,3,3,2,3,3,3,7,5,3,3,3,3,3,3,3,3,3,2,3,3,4,4,6
63200,Fine Particulate Matter,2024-10-09,4,3,3,3,3,3,3,5,4,5,3,3,2,3,2,1,1,3,3,3,6,6,5,4
63200,Fine Particulate Matter,2024-10-10,4,4,4,4,4,4,4,5,7,7,5,3,3,4,4,4,4,5,5,6,10,9,6,6
63200,Fine Particulate Matter,2024-10-11,7,6,7,7,7,6,7,10,13,12,9,7,6,4,3,3,2,2,3,3,3,4,4,4
63200,Fine Particulate Matter,2024-10-12,4,3,3,3,3,3,3,4,4,3,3,3,2,5,3,3,2,2,3,4,5,6,5,6
63200,Fine Particulate Matter,2024-10-13,6,4,5,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,3,3,3,4
