Thunder Bay, (63203) Hourly, Nitrogen oxides (NOx) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Thunder Bay (63203),,,,,,,,,,,,,,,,,,,,,,,,,
Address,421 James St. S.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.379389,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-89.290167,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 192 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,15 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Nitrogen Oxides (nitrogen oxides NOx),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63203,Nitrogen Oxides,2020-01-01,10.7,21,18.9,21.5,32,36,13.7,17.7,22.6,16.4,16.5,28.9,23.3,32.4,54.7,82.4,22.8,11.5,12.4,15.3,21,26.3,20.1,32.4
63203,Nitrogen Oxides,2020-01-02,27.6,24.7,24.9,39.8,41.7,38.9,55.7,38,41.9,37.2,47,37.6,25.9,21.1,11,15.5,9,6.5,5.8,4.1,3.7,2.8,3.2,3.3
63203,Nitrogen Oxides,2020-01-03,3.9,3.1,3.5,3.3,3.2,4.6,5.4,6.5,6,9.7,6.9,8.2,7.3,6.3,5.6,6,8.1,7.3,6.4,5.9,5.7,6.4,4.7,5.1
63203,Nitrogen Oxides,2020-01-04,4,3.2,4.1,5.1,5,4.1,5.8,7.5,17.2,11.2,6.1,8.9,7.3,4.3,4.2,4,6.7,7.7,5.8,7.3,18.4,26.7,30.7,55.7
63203,Nitrogen Oxides,2020-01-05,44,10.7,25.9,6.9,6.7,6.8,3.2,1.8,3.1,4.3,2.2,3.9,5,6.9,9.7,5.6,4.5,4.3,4.1,3,2.4,2.1,2.1,3.9
63203,Nitrogen Oxides,2020-01-06,3.8,12,6.4,8.3,4.1,2.6,2.1,7.3,8.5,6.6,3.8,5.1,4.9,3.7,5,6.7,18.2,25.8,46.8,53.1,72.4,64.3,74.3,38.9
63203,Nitrogen Oxides,2020-01-07,34.4,30.7,30.9,12.2,3.5,3.2,10.6,13.2,15.4,4.8,4.5,3.6,4.8,4.2,4.3,4.4,5.4,4.9,3.5,3.7,2.8,2.2,2.1,1.7
63203,Nitrogen Oxides,2020-01-08,1.6,2.3,1.9,2.1,2.3,3.9,9.1,8.1,24,12,5.6,5.3,11.6,6.2,6.5,5.8,10.5,17,51,70.1,58.8,57.6,40,29.7
63203,Nitrogen Oxides,2020-01-09,20.7,2.9,2.2,2.3,2.8,2.6,3,3.3,2.9,3.1,4.3,3.9,4.2,4.8,5.5,8.9,15.7,18.7,42.7,34.3,27.7,19.6,14,15.5
63203,Nitrogen Oxides,2020-01-10,16.6,5.2,10.6,14.3,5.7,10.2,8.3,10,17.1,10.7,6.3,5.8,6.5,5.4,4.9,6.9,6.6,5.4,5,4.7,4.5,3.4,3.6,2.4
63203,Nitrogen Oxides,2020-01-11,2,2.5,4.1,6.6,7.8,12.9,21.3,11.6,24.9,10.8,12.9,15.7,9.5,26.9,29.2,28.5,48.4,46.5,52.9,39.8,47.8,37.4,41.4,40.3
63203,Nitrogen Oxides,2020-01-12,25,12.5,11.1,19.2,7.2,5.4,6.7,5.8,18.8,31.6,30.8,16.6,19.9,16.3,9.5,16.3,16.2,14.3,14.6,22.3,22.8,19,29.5,26.4
63203,Nitrogen Oxides,2020-01-13,16.5,12.1,17.6,20.5,12.1,9.5,14.7,15,22.2,27.4,18.9,17.5,16.5,15,28.9,32.3,13.8,18.7,-999,-999,24.9,9.8,5,4.2
