Thunder Bay, (63203) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Thunder Bay (63203),,,,,,,,,,,,,,,,,,,,,,,,,
Address,421 James St. S.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.379389,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-89.290167,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 192 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,15 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63203,Fine Particulate Matter,2020-01-01,8,10,9,9,10,11,8,9,10,9,8,9,8,9,10,6,9,8,10,11,11,12,11,13
63203,Fine Particulate Matter,2020-01-02,14,13,12,12,12,12,12,13,13,13,16,15,14,12,11,9,4,3,3,2,3,4,3,3
63203,Fine Particulate Matter,2020-01-03,3,2,3,3,3,3,3,3,4,4,4,4,4,3,3,3,4,5,5,5,4,5,4,4
63203,Fine Particulate Matter,2020-01-04,3,3,3,2,2,2,2,3,2,3,2,3,4,4,4,4,4,4,2,2,3,4,6,6
63203,Fine Particulate Matter,2020-01-05,5,4,4,2,2,2,1,2,2,3,2,3,4,5,6,5,5,3,2,2,2,2,2,2
63203,Fine Particulate Matter,2020-01-06,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,5,8,15,9,12,14
63203,Fine Particulate Matter,2020-01-07,13,12,13,5,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1
63203,Fine Particulate Matter,2020-01-08,1,5,3,3,2,2,2,2,3,2,2,2,2,4,3,2,4,6,14,23,17,14,11,6
63203,Fine Particulate Matter,2020-01-09,4,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,7,9,7,10,10,10,9,7
63203,Fine Particulate Matter,2020-01-10,8,10,10,10,10,10,8,8,8,7,7,5,4,3,3,3,6,6,7,10,11,8,5,2
63203,Fine Particulate Matter,2020-01-11,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,4,5,5,4,3,3,2
63203,Fine Particulate Matter,2020-01-12,3,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
63203,Fine Particulate Matter,2020-01-13,2,2,2,2,2,3,4,4,5,5,5,6,5,5,7,6,5,9,-999,-999,8,4,2,2
63203,Fine Particulate Matter,2020-01-14,2,1,2,2,10,6,6,6,6,6,7,5,4,4,5,5,5,7,5,5,4,5,5,8
63203,Fine Particulate Matter,2020-01-15,6,5,4,4,5,6,7,7,8,8,6,5,5,5,5,5,7,9,9,7,4,3,3,3
63203,Fine Particulate Matter,2020-01-16,2,2,2,2,3,2,1,-999,-999,-999,1,1,1,1,1,1,1,1,1,1,6,9,7,9
63203,Fine Particulate Matter,2020-01-17,9,11,11,12,11,9,9,7,8,8,9,12,10,10,12,14,15,13,11,9,13,12,6,4
63203,Fine Particulate Matter,2020-01-18,4,7,7,3,5,4,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2
63203,Fine Particulate Matter,2020-01-19,2,2,2,2,2,2,2,3,2,2,3,3,2,3,3,3,3,4,4,6,6,5,4,5
63203,Fine Particulate Matter,2020-01-20,5,5,4,3,3,3,3,3,3,2,2,3,1,1,1,1,2,2,4,8,10,10,10,7
63203,Fine Particulate Matter,2020-01-21,7,7,7,20,16,19,4,5,9,8,6,5,4,6,3,4,6,6,5,5,4,4,3,4
63203,Fine Particulate Matter,2020-01-22,5,5,6,6,7,9,12,14,15,15,16,17,17,17,16,17,18,17,17,17,17,16,15,18
63203,Fine Particulate Matter,2020-01-23,18,20,16,16,15,15,13,11,6,5,4,3,3,3,2,2,3,3,4,5,7,5,5,4
63203,Fine Particulate Matter,2020-01-24,4,5,4,5,4,4,3,3,4,5,5,4,4,4,4,4,5,5,5,5,5,7,7,7
63203,Fine Particulate Matter,2020-01-25,6,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,3,4,4,4,4,4,4,3
63203,Fine Particulate Matter,2020-01-26,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2
63203,Fine Particulate Matter,2020-01-27,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,3,3,4
63203,Fine Particulate Matter,2020-01-28,4,3,3,3,2,2,2,3,3,3,2,3,3,3,2,2,3,3,3,4,3,3,3,4
