Sault Ste. Marie, (71078) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Sault Ste. Marie (71078)
Address,Sault College
Latitude,46.533194
Longitude,-84.309917
Elevation, 244 metres
Air intake height,8 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
71078,Nitrogen Dioxide,2020-01-01,1.6,1.9,2.2,2.5,3.7,4.8,6.5,18.9,7.6,3.5,2.2,4.3,5.2,3.2,3.6,4.5,3.9,3.4,3.7,3.8,4.2,5,4.2,3.9,
71078,Nitrogen Dioxide,2020-01-02,5.6,6.1,4.5,5.4,5.4,5.4,9.5,12.3,10.8,9.3,8.4,7.9,11,10.7,13.2,14.3,12.2,12.2,11.3,13.2,18.9,11.6,9.7,7,
71078,Nitrogen Dioxide,2020-01-03,4.6,2.9,2.5,4.2,2,2.5,6.4,4.9,6.3,5.2,3.8,4.5,4.8,4.8,4.3,5.6,4.9,4.4,4.1,3.6,3.1,3.7,2.6,2.5,
71078,Nitrogen Dioxide,2020-01-04,1.9,1.9,2,1.9,3.2,2.8,1.1,2.1,2.1,2.1,1.7,1.1,2.2,3.6,3.1,3,3.2,3.6,2.4,3,3,3.8,2.6,3.8,
71078,Nitrogen Dioxide,2020-01-05,8.8,13.2,6.9,3.7,3.6,6.1,5.4,1.4,3.2,2.3,1.6,1.8,2.4,1.4,2.3,2,2.4,2.6,4.1,3.6,5.9,4.8,6,6.8,
71078,Nitrogen Dioxide,2020-01-06,12.7,2,1.9,2.7,2.9,2.2,4.8,9.5,5,6.4,15,8.1,3.2,2.7,2.4,3.1,2.3,2.3,1.9,2.7,5.1,18.6,11.2,24.2,
71078,Nitrogen Dioxide,2020-01-07,17.2,16.3,7.8,4.3,3,3.6,7.8,13.7,34.3,19.5,5.2,6.7,7.6,5.3,6.4,5.8,3.9,3.2,2.4,2.6,3,2.2,2.1,2.2,
71078,Nitrogen Dioxide,2020-01-08,2.2,3,2.9,1.4,1.9,4,3.7,4.2,3.2,2.1,1.6,2.2,2.8,2.6,3.6,4,4.2,6.9,6.9,6,6.3,6.3,7.3,2.1,
71078,Nitrogen Dioxide,2020-01-09,4.1,1.1,0.9,1.8,1.5,2.1,2,2.3,1.9,1.7,2,2,2,3.2,3.1,3.7,4.8,5.3,5.4,6.4,6.4,7,6.4,6.4,
71078,Nitrogen Dioxide,2020-01-10,6,9.5,14.5,26.8,13.9,5.5,7.6,8,9.2,7.1,5.6,5.5,5.7,5.3,6.1,5.7,5.9,7.1,5,3.9,6.6,5.7,5.6,4.3,
71078,Nitrogen Dioxide,2020-01-11,3.4,3.8,3.2,3.3,2.6,2.2,3.6,1.5,2.2,2.5,1.2,1.1,1.1,1.4,1.2,1,0.9,1.1,1,0.9,0.8,0.7,0.6,0.6,
71078,Nitrogen Dioxide,2020-01-12,0.5,0.6,0.5,0.6,0.6,0.6,0.8,1,0.9,1.4,1.1,1.4,1.2,5.9,5.9,2.5,2.7,6.4,5.2,4,3.5,2,1.4,1.4,
71078,Nitrogen Dioxide,2020-01-13,0.8,0.9,0.8,0.7,0.7,1.5,3.4,2.4,3.4,3.1,3.1,2.6,3.8,3.9,5.9,8,12.3,12.9,14.6,17.4,10.3,10,4.3,2.2,
71078,Nitrogen Dioxide,2020-01-14,2,2.8,2,2.6,3.1,3,2.6,2.4,3.8,3.5,4.3,6.3,3.8,3.3,4.3,6.3,6.8,7.1,16.8,10.1,6.9,7.2,7.1,4.4,
71078,Nitrogen Dioxide,2020-01-15,3.6,2.7,2.4,3.8,3.4,2.6,5.6,8.6,10.8,9.2,8.1,7.1,7,6.6,4.9,5.5,8.9,10.1,10.3,10.7,10.2,6.2,5.4,5.4,
71078,Nitrogen Dioxide,2020-01-16,3.6,2.8,2.5,2.5,3.2,4.1,4,3.6,6.3,4.8,3.4,2.8,3,2.9,3,3.4,4.2,3.8,2.8,2.1,2.7,2,2.1,1.6,
