Sault Ste. Marie, (71078) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Sault Ste. Marie (71078)
Address,Sault College
Latitude,46.533194
Longitude,-84.309917
Elevation, 244 metres
Air intake height,8 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
71078,Nitrogen Oxides,2020-01-01,2.4,2.7,3.1,3.3,4.9,6.6,8.2,20.6,9.1,5,3.7,7.6,8.9,6,5.6,6.1,5.1,3.9,4.1,4.1,4.5,5.3,5,4.9,
71078,Nitrogen Oxides,2020-01-02,10.3,7.9,4.8,6,5.9,7.3,18.7,20.9,18.9,14.6,10.2,10.1,18.9,20.6,31.9,29.9,17.8,17.8,15.7,15.1,23.5,13.4,11.1,7.8,
71078,Nitrogen Oxides,2020-01-03,5.3,3.3,2.9,4.8,2.4,3,10,7.6,8.8,7.6,5.6,6.7,7.1,6.9,6.3,8,6.8,6.3,5.6,4.8,4.1,4.6,2.9,2.8,
71078,Nitrogen Oxides,2020-01-04,2.1,2.1,2.4,2.2,3.5,3.1,2.1,2.8,2.7,2.8,2.3,1.8,3.7,5.4,4.7,4.6,4.5,5.1,3.2,3.9,3.7,4.6,3.2,4.3,
71078,Nitrogen Oxides,2020-01-05,10.3,13.8,7.6,4,4.1,16.9,14.2,2.1,6.2,3.6,2.2,3.1,5,2.2,3.6,3.2,3.4,3.2,6.2,5.6,10.7,5.4,7.3,7.2,
71078,Nitrogen Oxides,2020-01-06,14.4,2.7,2.5,3.7,4,2.9,7.7,12.3,7.1,8.7,19.9,11.2,5.2,4.2,3.7,4.7,3.5,3.6,2.9,3.8,6.4,21,12.3,26.6,
71078,Nitrogen Oxides,2020-01-07,33.3,23.4,7.9,4.6,3.3,5.3,12.6,27.1,54.8,26.2,7.1,10.2,11.9,8,8.9,8.2,5.5,4.4,3.3,3.5,4.1,3.1,3,3,
71078,Nitrogen Oxides,2020-01-08,2.9,3.9,7,1.9,2.5,5,5.1,5.3,4.4,2.9,2.5,3.6,4.8,4.4,5.9,6,5.5,7.6,7.6,6.6,7.5,9.6,9.8,2.3,
71078,Nitrogen Oxides,2020-01-09,4.5,1.4,1.2,2,1.8,2.7,2.7,3.3,2.6,3.2,3.2,3.1,3.5,5.1,4.8,5.9,7.5,7.2,7.4,9.3,8.4,8.7,6.9,7,
71078,Nitrogen Oxides,2020-01-10,6.4,10.8,16.2,33.8,15.9,6.4,11.7,11.7,12.6,10.2,7.8,7.7,8.5,7.5,8.7,7.8,8,9.3,6.7,5.1,8.8,7.4,7.3,4.7,
