Sault Ste. Marie, (71078) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Sault Ste. Marie (71078)
Address,Sault College
Latitude,46.533194
Longitude,-84.309917
Elevation, 244 metres
Air intake height,8 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
71078,Fine Particulate Matter,2020-01-01,1,1,1,1,1,1,3,14,3,1,1,2,2,2,2,3,6,6,6,5,5,4,3,3,
71078,Fine Particulate Matter,2020-01-02,4,4,6,6,6,7,6,4,5,5,6,6,6,5,5,8,6,7,9,12,13,11,13,10,
71078,Fine Particulate Matter,2020-01-03,8,3,3,3,3,2,2,2,2,2,2,2,2,3,5,5,3,3,2,2,2,2,3,3,
71078,Fine Particulate Matter,2020-01-04,5,3,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,2,1,1,1,2,2,2,
71078,Fine Particulate Matter,2020-01-05,7,7,5,6,6,3,2,1,1,2,2,2,2,2,2,2,3,4,3,3,3,4,5,6,
71078,Fine Particulate Matter,2020-01-06,10,2,2,2,3,3,2,3,2,3,8,5,2,2,2,2,2,3,3,3,3,14,5,17,
71078,Fine Particulate Matter,2020-01-07,11,8,7,6,4,3,2,3,7,7,5,5,7,4,5,4,3,3,2,2,2,3,3,2,
71078,Fine Particulate Matter,2020-01-08,2,2,3,2,2,2,2,2,3,3,3,3,3,3,2,2,2,3,3,5,4,3,4,2,
71078,Fine Particulate Matter,2020-01-09,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,4,4,5,6,7,8,9,
71078,Fine Particulate Matter,2020-01-10,9,10,12,15,13,10,10,10,11,10,9,8,6,6,5,4,5,5,5,4,5,5,5,5,
71078,Fine Particulate Matter,2020-01-11,5,4,4,3,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,2,
71078,Fine Particulate Matter,2020-01-12,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,2,3,4,2,2,2,2,2,
71078,Fine Particulate Matter,2020-01-13,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,5,5,6,5,7,6,4,3,
71078,Fine Particulate Matter,2020-01-14,3,3,3,3,3,3,2,2,3,4,6,5,4,5,5,6,8,9,17,14,7,5,4,4,
71078,Fine Particulate Matter,2020-01-15,5,7,4,3,2,2,2,2,2,3,3,3,2,3,3,2,4,4,7,4,4,4,3,3,
71078,Fine Particulate Matter,2020-01-16,2,2,1,1,1,1,1,1,2,3,3,3,3,3,2,3,3,4,4,4,4,4,3,4,
71078,Fine Particulate Matter,2020-01-17,4,6,6,5,4,3,3,2,2,3,3,4,3,2,3,2,2,2,3,2,2,2,2,2,
71078,Fine Particulate Matter,2020-01-18,3,3,3,3,4,4,4,3,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,
71078,Fine Particulate Matter,2020-01-19,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,
71078,Fine Particulate Matter,2020-01-20,2,2,2,3,4,4,2,2,4,8,7,9,6,1,1,1,2,2,2,2,2,2,2,1,
71078,Fine Particulate Matter,2020-01-21,1,1,6,6,3,2,2,1,3,4,5,4,4,3,20,10,10,26,26,21,17,12,9,8,
71078,Fine Particulate Matter,2020-01-22,6,6,6,8,9,9,8,8,9,9,8,10,11,10,7,6,5,6,8,9,10,11,13,10,
71078,Fine Particulate Matter,2020-01-23,8,8,10,11,10,10,11,13,11,10,10,10,9,9,8,9,10,9,10,12,10,9,9,9,
71078,Fine Particulate Matter,2020-01-24,8,8,8,7,6,8,10,9,8,8,8,6,5,4,3,3,3,3,2,2,2,3,3,3,
71078,Fine Particulate Matter,2020-01-25,4,5,5,4,3,2,2,1,1,2,2,3,4,3,4,6,5,4,4,6,5,6,7,10,
71078,Fine Particulate Matter,2020-01-26,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,
71078,Fine Particulate Matter,2020-01-27,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,
71078,Fine Particulate Matter,2020-01-28,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,
71078,Fine Particulate Matter,2020-01-29,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,
71078,Fine Particulate Matter,2020-01-30,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,4,4,3,3,3,3,3,3,
71078,Fine Particulate Matter,2020-01-31,3,3,4,4,5,9,12,14,15,15,14,11,13,14,13,11,12,13,13,13,12,13,15,15,
