North Bay, (75010) Hourly, Nitrogen oxides (NOx) Concentrations
Station,North Bay (75010)
Address,Chippewa St. W., Dept. National Defence
Latitude,46.3225
Longitude,-79.44945
Elevation, 90 metres
Air intake height,4 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
75010,Nitrogen Oxides,2020-01-01,4,3.5,3.8,3.5,3,2.6,3.1,3.6,2.8,2.6,2.5,2.8,2.9,3.1,3.3,2,2.9,4,4.7,7.3,14.8,18.6,13.2,12.3,
75010,Nitrogen Oxides,2020-01-02,9,5.1,9,7.3,9.4,10.2,9.9,11.8,16.1,17,15.4,15.5,8.2,8.7,7.4,7.2,6.9,6.4,6.7,6.3,6.6,6.9,6.8,6.5,
75010,Nitrogen Oxides,2020-01-03,5.6,5.4,5.6,4.4,4.7,4.9,4.3,5.5,4.7,4.4,3.9,3.5,3.1,3.1,3.3,3.1,2.7,2.8,3.1,3.3,4.3,3.9,4.6,3.3,
75010,Nitrogen Oxides,2020-01-04,3.3,3.6,4.8,3.3,2,1.8,2,2,2.5,2.8,3.4,2.2,2.1,2.4,2.6,2.2,2.3,2.3,2.5,3,3.5,3.4,3,2.2,
75010,Nitrogen Oxides,2020-01-05,1.8,1.4,1.4,1.5,2.3,1.5,1.4,2.7,3.4,1.7,1.3,2.2,3.9,2.8,2.1,6.1,8.2,8.5,5.6,5.6,3.9,3.3,2.8,2.8,
75010,Nitrogen Oxides,2020-01-06,2.1,2.6,2.5,2.2,2.6,3,3.9,6.7,14.8,14,4,2.8,2.9,3.2,4.4,8.2,4.3,3,3.5,6.5,12.8,6.6,4.4,5.8,
75010,Nitrogen Oxides,2020-01-07,6.6,4.8,4.3,11.3,59.6,44.9,44.2,49.7,46.6,25.9,12,7.6,10.5,14.7,9.6,19.5,10.5,10.1,10.3,6.3,5.7,6.4,3.6,2.6,
75010,Nitrogen Oxides,2020-01-08,4.2,3.6,4.8,5.6,2.8,1.9,2.6,3.7,5.2,3,2.4,2.7,2.3,2,3.1,10.7,4.3,6.6,6.2,7.7,7.5,7.1,21.5,25.8,
75010,Nitrogen Oxides,2020-01-09,19.7,25.7,28.2,35.8,41.7,23.2,21.5,28.3,19.2,7.7,7,7.3,7.3,7.1,14.4,6.2,6.1,5.3,5.1,5.3,8.2,7.9,6.2,3.9,
75010,Nitrogen Oxides,2020-01-10,4.9,9,10.4,10.6,7.8,5.9,9,11.8,11.7,8.4,8.4,9.9,7,5.6,6.6,14.9,21.7,13.9,56.8,31.6,36.1,13,7.9,8.3,
75010,Nitrogen Oxides,2020-01-11,12.3,13,10.6,9.8,5,3.9,4.5,2.2,2,2.1,2.6,3.5,2.5,2.3,2.1,2,2.1,1.9,1.7,2.2,1.8,1.4,1.2,1.4,
75010,Nitrogen Oxides,2020-01-12,1.4,2,1.7,2,1.9,2.3,1.6,1.6,1.9,2.2,1.8,2.3,3,2.3,2.3,2.6,4.8,6.9,12.5,20.6,12,17.4,21.9,9.6,
75010,Nitrogen Oxides,2020-01-13,8.2,6,4.8,4.7,5.1,4.7,4.1,8.2,8.9,8.4,6.7,7.1,7.4,6.6,11.3,11.4,8.6,16.5,35.4,26.1,39.2,61.2,61.3,49.2,
75010,Nitrogen Oxides,2020-01-14,25.1,12.6,11.1,10.6,3.9,5.4,5.2,6.7,7.8,8.2,6.1,5.7,5.6,6.3,5.5,5.4,5.3,6.5,6,5.5,15,10.6,8,8,
75010,Nitrogen Oxides,2020-01-15,6.6,15,14.2,4.9,4.5,4.1,5.2,5.8,14.8,8.9,7.5,6.1,6.1,4.4,5,11.9,10.4,19.7,24.5,15,14.7,13.1,7.2,6.9,
75010,Nitrogen Oxides,2020-01-16,9.8,4.5,2.4,2.3,2.1,2.2,3.3,3.4,4.8,9999,9999,9999,9999,4.2,3.8,4.8,3.4,3.2,4.3,7.1,4.6,7.6,9.4,6.5,
75010,Nitrogen Oxides,2020-01-17,8.8,22.2,29.1,28.8,29.2,31.6,26.5,39.7,97.9,120.9,27.2,29,23.8,8,6.8,13.5,8.8,25.1,25.7,21.2,43.3,49.9,22.2,20.2,
75010,Nitrogen Oxides,2020-01-18,22.8,12.9,10.8,6.2,5.4,5.5,3.9,4.8,10.9,9,9.4,11.2,9.6,7.9,6.8,8.7,12.3,11.3,8.1,7.4,8.5,3.1,2.5,3.3,
75010,Nitrogen Oxides,2020-01-19,3.6,2.4,2.2,2.1,1.5,2.4,3,2.4,2.3,2.1,2.4,2.4,2.2,2.1,1.9,2.2,3.2,5.1,8.6,4.8,7.2,3.2,6.2,14.3,
75010,Nitrogen Oxides,2020-01-20,32.4,39.7,35.9,30.4,54.1,29.6,29,69.9,69.4,28.1,9.4,5.8,5.9,6.2,5.6,15,6.1,9,27.6,87.4,62.7,74.2,90.2,79.7,
75010,Nitrogen Oxides,2020-01-21,65.2,86.1,58.7,48,75.4,47.1,67.6,60.4,54.3,44.8,33.1,16.6,7.3,5.3,4.9,4.7,3.6,3.7,3.5,4.1,3.6,4.1,4.9,6,
75010,Nitrogen Oxides,2020-01-22,6.1,3.9,4.2,4.3,3.8,4.1,7,8.6,9,6.8,6.9,9.6,7.8,5.7,6.2,8.9,6.3,7.6,8.9,9,8.7,8.5,8.6,8,
75010,Nitrogen Oxides,2020-01-23,10.4,8.4,9.6,8.8,10.9,10,12.1,15.4,16.8,10.3,10.5,10.8,10.1,8.8,11.4,17.6,17,18.8,18.1,19.3,14.3,18.2,10.1,9.2,
75010,Nitrogen Oxides,2020-01-24,6.2,8.4,10.3,7,5.9,5.5,5.9,6.1,7.6,6.5,6.3,5.2,5.3,5.4,4.9,4.6,5.4,5.1,4.4,3.5,4,4.2,3.7,3.6,
75010,Nitrogen Oxides,2020-01-25,3.9,3.8,4,4.2,4.7,4.6,5.3,5.9,6,7,6.6,5.6,6.4,6.7,6.8,6.8,7.1,7.4,6,5.4,5,5,5.4,6.6,
75010,Nitrogen Oxides,2020-01-26,4.9,4.6,5.2,7.5,6.3,14,15.7,6.3,6.4,6.2,7.1,6.5,5.8,6.2,5.6,4.1,6.5,5.7,7.5,8.6,7.9,4.7,3.9,4.9,
75010,Nitrogen Oxides,2020-01-27,1.9,2.4,3.4,4.2,3.6,2.4,2.3,4.2,4.3,3.2,3.3,5.3,4.9,2.8,3.4,6.6,4.5,4.2,5.5,5,4.7,6.3,3.9,2.5,
75010,Nitrogen Oxides,2020-01-28,2.8,2.6,1.9,2.1,2,1.7,2.4,3.2,5.1,3.7,2.6,3.1,3,2.1,2.6,4.7,3.9,3.7,2.5,2.8,2.6,2.3,2.7,2.1,
75010,Nitrogen Oxides,2020-01-29,1.6,1.9,1.5,2.3,6.5,4.7,6.9,19.2,47.6,6.1,3.1,2.8,6.7,6.4,7,10.6,6.7,7.3,8.1,6.9,3.9,9.3,13.1,27.8,
75010,Nitrogen Oxides,2020-01-30,19.4,10.1,11.7,9.4,11,8.9,10.4,12.7,21.6,11.6,8.3,7,6.1,9.7,6.4,13.5,10.6,24.8,54.4,49.8,49.2,42.6,35.8,32.8,
75010,Nitrogen Oxides,2020-01-31,22.2,13.1,13.3,10.3,9.3,9.9,9.9,15.9,14,10.4,10.7,7.3,6,6.2,8.5,9.5,7.8,10,12.5,15.2,7.8,10.2,9.3,9.2,
75010,Nitrogen Oxides,2020-02-01,10.6,10,10,12.7,7.2,5.9,5,4.8,5.1,5.9,5.6,6.8,6.4,6.8,6.5,6.4,7.4,9,7.9,8.7,10,9,9.8,9.6,
75010,Nitrogen Oxides,2020-02-02,9.2,11.8,11.2,7.5,6.8,7,9.9,13.3,15.1,10.2,9.5,6.6,5.1,5.7,8.4,5.9,8.3,7.9,7.6,7.6,6.9,6.8,5.2,4.3,
75010,Nitrogen Oxides,2020-02-03,5.3,4,4.3,4.8,5,4.8,5.1,5.5,7.2,4.2,3.3,3.1,5.2,3.9,3.8,11.6,4.9,6.9,11.6,16.5,15.5,18.1,12.8,5.6,
75010,Nitrogen Oxides,2020-02-04,5.6,10,11.7,8.4,6.9,8.4,9.2,15.1,24.7,4.3,2.9,3.2,2.5,2.7,2.9,6.2,3.6,3.5,5.6,4.1,4,1.9,1.6,1.5,
75010,Nitrogen Oxides,2020-02-05,1.7,2.3,2.4,1.9,1.9,3.9,11.1,20.7,38,31,18.1,5.5,5,3.3,6.3,10.3,5,7.2,8.8,5.3,6.1,8,10.1,6.5,
75010,Nitrogen Oxides,2020-02-06,10.3,10.7,13,15.8,15.7,9.1,7.5,17.8,32,7.9,6.1,5.2,4.7,3.7,4.5,6,4.5,6.6,5.1,5.4,4.9,4.5,2,2.3,
75010,Nitrogen Oxides,2020-02-07,2.1,2.2,1.8,2,1.9,2.2,2.6,2.6,3.7,3.7,3.4,2.3,2.8,2.5,3.1,3.7,4,3.4,4.6,2.6,5.5,3.9,2.3,4,
75010,Nitrogen Oxides,2020-02-08,4.5,6.7,8.1,7.4,6.3,5.3,5.7,24,17,5.2,9.9,8.9,7.1,4.1,4.7,5.2,4.7,7.9,20.9,25.3,24.6,45.5,29,19.6,
75010,Nitrogen Oxides,2020-02-09,14.1,14.6,17.8,11.8,8.8,10.2,8.3,21.2,33.4,24.8,9.3,9.9,7.4,6.4,5.6,5.7,5.9,5.7,6.5,8.5,8,8.9,12.8,9.1,
75010,Nitrogen Oxides,2020-02-10,7.6,6.3,5.5,8.4,10.1,11.3,17.3,12.7,19.9,7.2,5,5.3,7.2,5.8,4.1,13.3,4.5,5.3,7.5,6.9,5.9,5.9,4.3,4.7,
75010,Nitrogen Oxides,2020-02-11,4.3,2.5,2.1,2.9,6.2,14.9,9.7,16.6,17.7,5.9,5.5,5.3,5.7,5,6.4,7.2,5.1,4.2,4.8,4.5,4.3,3.6,3.1,2.6,
75010,Nitrogen Oxides,2020-02-12,2.5,3.3,4.2,4.6,18.6,37.8,16.2,10.3,12.8,7.7,5.7,5.3,4.7,4.3,4.3,5.4,4.1,4.1,6,6.3,7.8,8.4,8.5,8.8,
75010,Nitrogen Oxides,2020-02-13,5.1,1.8,1.8,2.4,2,2.1,2.6,4.6,4.1,4.6,3.2,4,3,2.8,3.2,3.3,3.2,4.5,3.9,5.3,6.3,7.2,5.1,5.7,
75010,Nitrogen Oxides,2020-02-14,12.8,28.5,28.3,26.4,46.2,29.4,60,39.3,39.3,19.6,16.2,12.4,4.8,4.9,4.5,4.8,4.2,8.1,19.6,15.4,8.3,6.7,5.1,5.6,
75010,Nitrogen Oxides,2020-02-15,5.6,4.7,5.3,7.3,6.6,6.9,6.5,6.5,7.1,6.7,5.4,5.1,5.2,5.2,5.1,4.3,4.4,5,5.5,5.6,5.3,5.2,5,6.3,
75010,Nitrogen Oxides,2020-02-16,6.4,5.5,5.2,3.3,3.6,3.7,5,5.4,4.9,3.9,3.5,3.1,3.1,2.2,2.7,2.2,2.4,2.9,3.1,3,3.4,3.8,8.4,16.6,
75010,Nitrogen Oxides,2020-02-17,12.6,10.2,7.3,8.8,8,10.6,17.1,42.9,24.3,12.7,7.4,4.2,5.3,2.8,1.7,2.4,5,12.8,18.3,15.3,16,16.1,11.3,7.8,
75010,Nitrogen Oxides,2020-02-18,7.9,5.9,4.3,3.6,3.6,3.2,3.5,4.3,4.9,5.2,5.4,6.4,6.9,10.6,5.3,4.1,3.6,3.2,4,3.6,3.3,3.9,5.3,5.1,
75010,Nitrogen Oxides,2020-02-19,3.3,2,1.8,1.8,1.8,3,2.9,5.4,6.1,2.7,4.6,3.9,2.9,3.1,4.3,8,3.5,4.4,7.1,3.8,2.9,3.5,3.8,5.2,
75010,Nitrogen Oxides,2020-02-20,5.3,4,3.9,3.2,10,10.1,21.8,32.5,45.8,25.7,12.2,9,5.5,3.3,4.7,6.3,4.9,9.4,24.2,48,47.4,13.1,8.6,8.6,
75010,Nitrogen Oxides,2020-02-21,6.9,8.2,12.6,26.2,23,14.6,5.9,43.9,18.2,10.6,6.2,4.4,4,3.7,3.7,3.5,3.3,3.2,4.3,4.7,4.4,4.4,4.7,4.7,
75010,Nitrogen Oxides,2020-02-22,5.4,4.6,6.2,9.8,14.8,31.7,58.2,60.9,28.1,8.3,4.4,4.7,4.6,4.9,4.6,4.5,5,5.3,5.7,6.5,8.3,9.8,23.7,42.1,
75010,Nitrogen Oxides,2020-02-23,34.5,30,28.4,29.3,32.5,42.4,44.6,57.5,54.7,17.5,11.6,5.7,5.6,5.8,6.7,6.3,5.4,7.9,6.9,5.9,6,7.1,7.1,6,
75010,Nitrogen Oxides,2020-02-24,7.2,6.8,7.7,19.4,34.4,33.8,38.5,44.1,18.2,6,5,5.4,4.7,3.4,4,7.3,4.9,5.4,9.1,8.7,15.1,19.5,12.5,2.9,
75010,Nitrogen Oxides,2020-02-25,2.5,2.1,2.1,2.4,3.6,4.7,5.9,5.7,4.1,3.8,3.5,3.3,2.9,2.9,2.9,2.5,2.9,3.5,3,2.9,2.7,2.5,1.8,1.8,
75010,Nitrogen Oxides,2020-02-26,1.9,2.1,1.8,2.3,2.3,2.3,3.3,3.9,4.9,5,4.7,3.3,4.3,4.9,5,5.1,3.8,3.7,2.6,2.2,1.9,2.1,2.1,1.6,
75010,Nitrogen Oxides,2020-02-27,1.6,1.5,1.6,1.8,1.7,5.1,4.8,5.4,4.7,3.8,3,4.2,2.8,2.9,2.5,2.6,2.8,2.5,2.5,2.4,2.5,3.1,3,2.1,
75010,Nitrogen Oxides,2020-02-28,2.1,2.2,2.3,2.5,3.5,4.9,3.6,7.1,8.7,5,3.8,4.1,3.6,3.6,5.2,8.2,3.5,5,4.6,7.8,20.8,25.3,19.5,28.9,
75010,Nitrogen Oxides,2020-02-29,23.5,19.6,31.3,27.3,4.6,3.6,6.6,8.8,8.7,5.5,5.2,4.5,3.6,2.8,3.1,2.7,3.1,5.2,25,40.2,34.7,45.9,30.1,44.4,
75010,Nitrogen Oxides,2020-03-01,36,44.3,41.8,24.9,24.7,27.1,30.3,28.4,16,9.1,5.3,4.9,4.6,4.4,3.1,4.8,6,6.1,4.7,5.1,5.6,7.8,4.5,5.4,
75010,Nitrogen Oxides,2020-03-02,7.4,6.6,7.6,7,9.4,13.4,28,75.6,72.9,10.9,6.4,5.9,5,4.8,4.5,6.3,4,3.9,4.2,4.9,12.4,19.3,30,36.8,
75010,Nitrogen Oxides,2020-03-03,46.3,33,34,28.2,45.4,56.4,52.3,51.9,31.9,8.7,7.3,4.4,5.3,4.8,6.4,5.3,5.9,6.7,7.9,7.5,8.5,5.6,2.9,4.4,
75010,Nitrogen Oxides,2020-03-04,5.1,5.1,4.3,3.1,3.7,5.9,5.3,7.6,10.1,4.8,3.3,3.3,3.2,3.2,3.3,6.6,3.8,2.7,2.6,3.3,3.5,4,3,3.3,
75010,Nitrogen Oxides,2020-03-05,2.8,2,2.5,2.2,2.2,2.9,4.2,6,5.4,3.3,2.6,3.1,3,2.3,2.7,2,2.7,2.8,2.8,4.2,8.8,5.8,4.3,3.7,
75010,Nitrogen Oxides,2020-03-06,4.2,2.6,2,2.3,2.2,1.8,2.2,3.9,4.2,4,3.2,2.4,2.3,2.6,2.7,2.4,2.3,2.5,3.3,4,5.7,4.1,2.4,2.2,
75010,Nitrogen Oxides,2020-03-07,1.8,3.3,6.8,23.4,11.6,29.4,49.7,40.6,12.4,14.6,10.4,4.3,2.5,2,2.2,2.6,3,2.9,5.4,3.6,3.9,4.4,4.7,14.4,
75010,Nitrogen Oxides,2020-03-08,12.9,13.7,-999,-999,16.8,21.8,11.3,14.3,26.3,6.6,4.7,3.9,4.2,4.2,4.7,4.1,4.7,5,7.1,30.2,44.4,24.4,14.1,18.7,
75010,Nitrogen Oxides,2020-03-09,19.4,28.1,14.2,27.8,37.2,50.4,53,79.9,54.6,11.4,5.4,5.1,8.6,5.8,14.5,7.5,7.3,8,9,7.6,23.5,6.3,4.3,4.2,
75010,Nitrogen Oxides,2020-03-10,4.2,3.8,3.6,3.2,3.5,8.5,4.7,3,3.8,4.1,3.4,6.1,3.5,3.2,5.7,2.1,2,2.2,3.4,8.2,10.7,17.3,8.9,19.5,
75010,Nitrogen Oxides,2020-03-11,20.2,14.5,9.8,11.9,11.8,10.6,9.6,10.7,6.3,4.6,4.9,3.6,3.3,3.7,4.3,4.2,5.2,5.1,5.2,4.1,4.4,6.3,4.5,3.8,
75010,Nitrogen Oxides,2020-03-12,3.4,3.2,3.9,5.3,5.3,6.7,6.8,7.9,6.4,4.7,6,4.9,4.9,4.5,4.8,4,5.3,9.9,14.1,8.2,3.8,3.8,3.7,3.8,
75010,Nitrogen Oxides,2020-03-13,3.9,3.6,3.5,3.9,6.1,14.1,7,4.6,3.5,3.8,2.7,2.8,2.7,2.7,2.5,2.3,2.2,2.1,2.3,1.8,1.9,1.6,1.6,1.7,
75010,Nitrogen Oxides,2020-03-14,1.7,1.7,1.5,1.6,1.8,2.4,2,2,1.8,1.6,1.6,1.7,1.7,1.6,1.6,1.8,1.7,2.8,3.1,2,1.8,2.2,1.6,1.4,
75010,Nitrogen Oxides,2020-03-15,1.6,1.4,1.3,1.4,1.4,1.6,2.1,2.1,1.6,1.5,1.4,1.3,1.4,1.5,2.1,1.9,1.9,2.4,3.2,4.3,3,3.3,4.1,5.1,
75010,Nitrogen Oxides,2020-03-16,7,7.6,6.3,4.2,4.9,5.3,5.6,5.4,4.2,4.5,3.6,2.4,2.1,2.5,3,3.7,4.5,4.2,6.7,5.3,3.8,4.1,8,4.1,
75010,Nitrogen Oxides,2020-03-17,4.1,5.4,7.1,6.7,5.4,6.1,6.5,6.3,5.1,5.1,4.4,4.2,4.4,4.1,2.2,2.5,1.9,2.1,2.4,2.3,2.6,2.4,2.5,5,
75010,Nitrogen Oxides,2020-03-18,5.4,11.7,14.5,36.6,39.7,46.9,55.7,34,19.5,6.9,5.2,4.4,4.8,3.3,3.6,4.4,4.7,3.8,6.5,6.4,4.5,3.2,2.9,2.5,
75010,Nitrogen Oxides,2020-03-19,2.3,2.4,2.7,3.2,3.7,4.6,5.5,5.9,4.7,3.7,3.8,3.6,3.6,3.6,3.8,3.8,5.6,4.8,4.8,5.3,5.9,4.4,4.5,3.8,
75010,Nitrogen Oxides,2020-03-20,3.7,4.3,3.4,3.6,4.3,7.3,22.8,12.2,4.1,4.9,3.3,3.3,2.6,1.7,1.8,1.7,1.7,1.6,1.7,1.7,1.6,2,2.6,2.7,
75010,Nitrogen Oxides,2020-03-21,2.4,1.8,2.1,2.4,4.3,6.9,16.8,9.4,2.1,2.3,2.7,2.1,2,1.8,1.8,1.6,1.7,2,3.3,12.8,18.9,18.6,18.8,19,
75010,Nitrogen Oxides,2020-03-22,17.7,14.8,10.4,8.2,7.7,6.9,7.5,7.7,3.6,3.2,2.1,1.7,1.6,1.8,2,1.9,2.2,3.3,6.7,9.6,4.2,3.1,2.7,2.5,
75010,Nitrogen Oxides,2020-03-23,2.4,2.8,3.1,3.3,4,5,8,7,4.4,3.1,3.2,3.2,3.4,3.9,2.5,2.6,2.9,4.1,6,8,5.2,5.1,4.8,5,
75010,Nitrogen Oxides,2020-03-24,4.4,6.6,4.6,6,6.2,7.2,5.1,5.7,5.4,5.7,3.5,3.1,3.1,2.7,2.7,3.1,2.9,3.3,4.7,24.8,35.6,26.6,29.3,19.4,
75010,Nitrogen Oxides,2020-03-25,13.3,13.2,13.1,25.1,23.4,28.5,34.1,13.8,5,5.1,3.3,3.6,2.5,3.2,2.8,3,2.8,3.4,3.2,3.6,4.3,6.3,11.3,20.9,
75010,Nitrogen Oxides,2020-03-26,20,17.1,5.8,6.8,6.2,5.2,5.6,8.3,10.7,7,8.4,6.9,3.7,2.6,2.3,2.1,2.6,2.4,1.9,2.5,2.7,5,7.1,11,
75010,Nitrogen Oxides,2020-03-27,5.1,3.3,2.6,2.5,2.9,4.6,8.8,5.1,4.1,4.1,5,4.5,3.6,2.8,2.2,2.3,2.2,2,4.3,17.4,20.8,36.4,17,6.6,
75010,Nitrogen Oxides,2020-03-28,7.9,5.3,5.5,5.8,6,9,7.4,5.2,6.3,4.5,4.5,3.6,2.8,2.5,2.5,2.9,3,3.1,5.7,3.9,2.2,2.1,2,1.8,
75010,Nitrogen Oxides,2020-03-29,1.7,1.7,1.7,2.1,2.3,2.4,2.4,2.3,2.4,2.5,2.6,2.6,2.7,2.9,3.2,3.7,3.7,3.4,4.2,5.9,5,3.1,4.3,3.6,
75010,Nitrogen Oxides,2020-03-30,3,3.7,5,6.1,9.7,8,19.7,9.4,6.8,3,3.5,3.4,3.9,3.5,3.8,2.4,2,2,1.7,1.6,1.6,1.6,1.4,1.4,
75010,Nitrogen Oxides,2020-03-31,1.4,1.7,2.2,2.7,1.8,2.6,3.8,3.6,3,2.6,3.1,2.4,2.2,2,1.9,2.5,2.5,2.1,3.3,5.5,3.8,2.9,2.4,1.9,
75010,Nitrogen Oxides,2020-04-01,2.4,3.7,8,11.1,6.6,13.1,21.3,14.4,7.2,8.1,8.3,3,2.2,1.8,1.7,1.9,1.7,2.2,2.8,4.7,3.7,2.3,5.4,7.1,
75010,Nitrogen Oxides,2020-04-02,4.8,7.6,6.4,4.9,4.5,10.9,24.4,8.8,2.8,2.3,1.8,1.9,1.7,1.6,1.8,2,1.8,2,2.3,2,2.3,1.6,1.7,1.8,
75010,Nitrogen Oxides,2020-04-03,1.7,1.8,1.6,1.6,2,1.9,2.4,2,2,2.5,2,2.4,2.2,2.9,2.7,2.6,3.2,2.2,5.5,11.1,6.2,4.9,7.4,10.2,
75010,Nitrogen Oxides,2020-04-04,11.8,6.6,6.9,7.5,7.9,12,16.4,20.5,13.8,11.7,5.9,3.1,1.7,1.6,1.6,1.5,2.4,3.7,3.4,3,3.5,2.3,3.1,2.3,
75010,Nitrogen Oxides,2020-04-05,2.1,2,2.3,2.6,1.8,1.4,1.5,1.6,1.6,1.7,1.6,1.3,1.4,1.6,1.6,1.5,1.6,1.8,3,6.6,15.9,15.8,16,19.6,
75010,Nitrogen Oxides,2020-04-06,15.4,22.9,21.1,25.6,26.4,29.2,45.4,20.3,3.7,3.7,3.3,2,2,1.9,1.7,1.6,1.8,2.5,4,3.5,3,5.7,11.6,17.7,
