North Bay, (75010) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,North Bay (75010)
Address,Chippewa St. W., Dept. National Defence
Latitude,46.3225
Longitude,-79.44945
Elevation, 90 metres
Air intake height,4 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
75010,Fine Particulate Matter,2020-01-01,5,3,4,3,3,3,4,3,3,2,1,2,1,1,1,1,2,2,2,5,5,4,4,7,
75010,Fine Particulate Matter,2020-01-02,11,13,12,11,11,11,11,10,12,12,9,8,5,4,3,3,4,4,4,5,6,6,6,7,
75010,Fine Particulate Matter,2020-01-03,7,7,7,7,6,6,5,5,6,5,4,3,2,1,1,1,1,1,2,1,3,2,0,0,
75010,Fine Particulate Matter,2020-01-04,0,1,1,1,1,2,1,2,3,4,4,2,2,2,3,2,2,2,2,2,1,1,1,1,
75010,Fine Particulate Matter,2020-01-05,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,3,3,4,4,4,3,2,2,2,
75010,Fine Particulate Matter,2020-01-06,2,2,2,2,2,3,3,3,5,5,4,2,2,2,3,3,3,3,2,3,4,4,3,3,
75010,Fine Particulate Matter,2020-01-07,3,3,2,2,9,5,5,6,9,10,4,3,5,10,7,7,11,10,8,7,4,3,2,1,
75010,Fine Particulate Matter,2020-01-08,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,5,5,
75010,Fine Particulate Matter,2020-01-09,12,5,3,4,6,6,6,5,3,3,2,2,2,2,1,1,1,1,1,1,1,2,2,2,
75010,Fine Particulate Matter,2020-01-10,3,4,4,4,4,5,5,5,7,8,9,9,9,9,12,15,23,24,24,20,18,17,14,12,
75010,Fine Particulate Matter,2020-01-11,12,12,11,11,12,8,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
75010,Fine Particulate Matter,2020-01-12,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,3,
75010,Fine Particulate Matter,2020-01-13,3,2,1,1,1,2,2,3,3,3,4,5,5,5,5,5,6,10,12,9,9,12,11,10,
75010,Fine Particulate Matter,2020-01-14,12,12,7,6,3,2,2,2,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,
75010,Fine Particulate Matter,2020-01-15,5,5,6,5,5,4,5,5,4,4,5,5,4,4,4,4,4,6,7,7,6,6,4,4,
75010,Fine Particulate Matter,2020-01-16,5,4,1,1,1,1,1,2,2,9999,9999,9999,9999,1,1,1,1,2,3,3,3,3,3,3,
75010,Fine Particulate Matter,2020-01-17,3,3,4,4,2,3,6,6,9,15,9,14,13,2,2,2,3,6,7,5,9,13,11,9,
75010,Fine Particulate Matter,2020-01-18,8,7,4,3,2,2,2,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,3,
75010,Fine Particulate Matter,2020-01-19,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,1,2,
75010,Fine Particulate Matter,2020-01-20,16,7,14,5,5,5,3,13,22,4,2,1,1,2,1,1,1,2,4,26,7,6,9,7,
