Sudbury, (77233) Hourly, Nitrogen dioxide (NO2) Concentrations
Station,Sudbury (77233)
Address,155 Elm St.
Latitude,46.492002
Longitude,-81.003099
Elevation, 271 metres
Air intake height,5 metres
Pollutant,Nitrogen Dioxide (nitrogen dioxide NO2)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
77233,Nitrogen Dioxide,2020-01-01,6,4.9,5.5,3.1,3.4,3.4,3.2,3.2,3.4,2.9,2.2,1.8,2,2,2.4,3.3,4.5,7.8,13.3,14.4,28.2,27.6,22.8,34.2,
77233,Nitrogen Dioxide,2020-01-02,23.7,39.6,22.4,7.9,16.1,21.3,21,17.6,24.2,24.1,20.7,7.5,6.2,8,7.8,8,8.7,9,9.3,10.8,8.6,7.5,12.1,6.4,
77233,Nitrogen Dioxide,2020-01-03,5.1,5.2,5,4.8,4.5,6.3,6.9,7.6,6.6,4.7,3.7,3.1,3.4,4.4,3.1,3.9,4.5,5,5.8,7.7,5.1,4.5,4.2,4,
77233,Nitrogen Dioxide,2020-01-04,4.3,3.9,5.5,4.7,4.3,3.8,3.5,3.8,4.4,4,5.8,3.7,3.8,5.3,4.5,6,3.6,5.3,4.4,4.1,4.4,3.5,3.4,4.7,
77233,Nitrogen Dioxide,2020-01-05,3.5,3.4,3.3,2.9,2.4,4.9,10.8,11.4,8.9,4.1,3.4,4.1,3.9,7,4.7,4.6,5.1,7.3,7.8,7.1,4,2.9,4.4,6.6,
77233,Nitrogen Dioxide,2020-01-06,4.2,5.3,3.8,9999,7.6,20.8,12.3,4.8,5.3,3.1,7.2,4.8,4.5,4.2,3.1,3.3,7.5,6.3,8,6,4.3,2.2,2.9,2.9,
77233,Nitrogen Dioxide,2020-01-07,3.7,5,9.2,20.2,21.7,20.6,36.3,48.7,45.1,33.3,36.9,38,10.7,4.6,4.3,5.1,8.7,11.9,20.6,11.1,9.8,5.8,10,11.3,
77233,Nitrogen Dioxide,2020-01-08,9.8,4.3,2.3,5.3,2.9,4.7,2.4,4.5,3.7,2.4,2.1,2.1,2.1,2.4,2.9,2.7,4.7,6.7,10.7,9.2,11,22.1,28,35.5,
77233,Nitrogen Dioxide,2020-01-09,32,41.5,41.1,41.3,38.8,32.4,15.9,9.3,11,6.1,11,6.5,5.1,5.6,10.6,10.7,8.9,8.7,7,8.4,4.4,13.9,18.4,20.7,
77233,Nitrogen Dioxide,2020-01-10,15.3,11.9,9.4,9,9.7,8.3,9,12,12.4,10.2,7.9,6.6,5.5,4.6,6,7.6,6.7,12,21.3,22.3,16,27.1,26.8,32.1,
77233,Nitrogen Dioxide,2020-01-11,31.8,31.8,17.8,8.7,6,4.5,3.8,4.3,5.6,4.9,5.5,3.5,2.9,3,2.8,3.4,2.8,3.2,3.8,2.8,2.6,2.4,2.2,3,
77233,Nitrogen Dioxide,2020-01-12,2.9,2.9,2.7,3,3.5,3,4.2,3.3,3.5,4.9,5.5,5.4,4.6,3.8,4.2,3.8,5.4,9.5,8.5,7.5,9.6,13.2,11.9,10.1,
77233,Nitrogen Dioxide,2020-01-13,12.8,6.6,5,9999,8.2,8.4,9.1,10.1,13.6,11.9,7.3,6.3,5.7,4.4,5.2,6,10.2,28.5,35,40.7,42.8,42.4,46,44.3,
77233,Nitrogen Dioxide,2020-01-14,43.3,42.3,40.2,32.3,14.7,8.8,12.4,13.6,11.9,13.8,12.5,7,6.1,12.2,7.6,10.7,9.6,9.8,12.3,14.4,12.8,13.9,16.8,15.6,
77233,Nitrogen Dioxide,2020-01-15,31.9,5.3,7.3,6.9,6,4.8,6.1,9.8,14.2,12.1,9999,9999,9999,9999,9999,9.3,16.7,10.8,16,14.8,21.1,16.3,10.9,6.5,
77233,Nitrogen Dioxide,2020-01-16,6.5,5.6,4.5,7.7,2.8,5.1,4,7.5,4.3,4.5,5,3.3,2.7,3.2,3.5,3.9,5.1,7.4,7.8,7.6,10.5,5.7,7.6,9.8,
77233,Nitrogen Dioxide,2020-01-17,6.7,14.5,17.1,13.3,16.2,24.5,28.4,29.9,33.7,13.5,7.9,5.4,7.6,6.5,6.6,5.9,17,33,35.1,42.2,35.8,27.1,22.9,21.1,
77233,Nitrogen Dioxide,2020-01-18,9.5,10,9.7,8.3,7.6,5.3,8.2,6.5,5.4,4.7,5.2,5.8,4.2,3.9,3.4,6.2,6.5,5.7,4.3,4.7,4.8,5.3,4.9,6.3,
77233,Nitrogen Dioxide,2020-01-19,6.7,4.8,4.7,5.8,5.2,4.6,4.8,5.5,5.9,4,3.8,3.9,5,4.6,5.1,5.2,5.5,5.4,5,6.9,4.6,4.6,9.3,12.6,
77233,Nitrogen Dioxide,2020-01-20,8.9,10.4,16.9,9999,33.2,44.9,45.8,37.9,24.4,18.6,9.4,4.8,4.8,9.5,3.5,4.2,9.3,12.3,21.1,27.6,13.5,34,46.8,48.4,
77233,Nitrogen Dioxide,2020-01-21,51.6,55.8,49.6,36.4,40.6,30.5,21.7,23.7,15.4,12.6,7.7,3.2,3.1,2.9,2.9,3.7,4.6,4.6,3.5,3.9,3.6,4.1,3.6,4.7,
77233,Nitrogen Dioxide,2020-01-22,5,3.7,3.7,3.8,4,5.5,6,6.9,6.7,6.8,6.3,5.6,5.1,6,7.1,5.3,6.4,6.8,7,7.1,7.4,7.2,6.6,6.5,
77233,Nitrogen Dioxide,2020-01-23,7.2,9.1,12.3,8.2,10.1,15.9,15.8,18.5,15.9,16,11.5,12.7,11.5,11.4,14.3,12.9,15.2,15.7,12.6,15.9,12.4,12.6,11.7,10,
77233,Nitrogen Dioxide,2020-01-24,9.6,10.3,9.4,11.3,9.1,8.1,8.2,8.8,8.9,7.8,9.4,6.5,7,6.3,7.2,7.5,8.4,9.8,7.3,6.3,6.1,6,7.3,6,
77233,Nitrogen Dioxide,2020-01-25,7.4,5.4,6.2,7,5.8,5.9,8,6.2,7,9.6,7.9,12.7,12.1,8.9,13.6,15.3,14.3,15.5,12.1,14.6,12.8,10.8,11.6,14.4,
77233,Nitrogen Dioxide,2020-01-26,12.6,13.6,14.3,12,9.8,9.1,8.2,7.9,7.6,6.1,4.6,4.4,4.2,3.1,3.4,5.5,6.6,2.5,2.3,2.4,3,2.5,1.9,3.1,
77233,Nitrogen Dioxide,2020-01-27,2.2,2,4.6,9999,2.8,2.8,3.1,7.5,7,3.5,3.7,3,2.9,2.9,2.4,2.9,3.7,3.3,3.3,2.8,3.1,2.5,4.9,2.8,
77233,Nitrogen Dioxide,2020-01-28,3,3.4,4.4,7.7,3.9,5.1,6.1,10.9,13.2,7.8,4.6,3.6,3.3,4.1,3.5,3.4,3.9,4.4,4.8,5.2,4,4.4,4.4,3.8,
77233,Nitrogen Dioxide,2020-01-29,5.6,4.2,3.8,4.4,4.8,5.6,5.5,7.5,8,6.6,4.2,3.4,2.9,3,3.9,4.3,6.2,10.2,15.7,16.3,7.4,6.7,9.2,7.8,
77233,Nitrogen Dioxide,2020-01-30,8.9,9.6,11.7,15.1,14.2,11.8,14.8,21.8,18.1,19.2,12.6,18.2,9.5,6.3,12.5,21.3,18.2,17,20.5,14.7,18.7,14.5,22.5,32.4,
77233,Nitrogen Dioxide,2020-01-31,36.1,36.8,34.7,35.7,36.5,35.8,32.3,15.9,15.7,14.9,15,12.2,8.8,18.8,23,19.1,21.1,29.6,18.9,15.4,17.1,9.1,12,11,
