Sudbury, (77233) Hourly, Nitrogen oxides (NOx) Concentrations
Station,Sudbury (77233)
Address,155 Elm St.
Latitude,46.492002
Longitude,-81.003099
Elevation, 271 metres
Air intake height,5 metres
Pollutant,Nitrogen Oxides (nitrogen oxides NOx)
Unit, parts per billion (ppb)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
77233,Nitrogen Oxides,2020-01-01,7.3,5.6,6.8,3.8,4.2,4,3.9,4.1,4.6,3.8,2.9,2.5,2.7,2.7,3,4,5.2,9.2,15,16,34.4,32.5,28.2,45.4,
77233,Nitrogen Oxides,2020-01-02,30.3,60.1,27.8,8.8,21.6,28.1,27,22.7,34.2,36.1,33.2,10.9,8.8,12.7,10.4,9.4,9.8,10.8,10.5,12.8,9.4,8.3,13.3,7,
77233,Nitrogen Oxides,2020-01-03,5.5,5.7,5.6,5.2,5,7.1,7.6,8.5,7.4,5.6,4.7,4,4.4,5.5,3.8,4.8,5.3,5.6,7,8.5,6.7,5.6,5.1,4.6,
77233,Nitrogen Oxides,2020-01-04,5,4.6,7.2,5.7,5.3,4.8,4.7,5.2,6.1,5.5,8.6,5.2,5.6,8.5,6.4,8.1,4.9,7,5.9,5.5,5.3,4.4,4.2,5.8,
77233,Nitrogen Oxides,2020-01-05,4.2,4.2,3.9,3.9,3.3,6.2,11.6,12.5,10.7,5.5,5.1,6.2,6.1,11.7,6.6,6.3,6.6,9.5,9.9,9.8,5.2,3.6,5.7,12.7,
77233,Nitrogen Oxides,2020-01-06,5.3,8.1,4.4,9999,9.3,26.4,14,5.6,7.4,4.2,11.4,6.2,5.9,5.5,4.1,4.4,9.5,7.5,9.1,6.9,5,2.8,3.5,3.4,
77233,Nitrogen Oxides,2020-01-07,4.1,5.4,10,24.8,24.3,22.6,56.4,98.5,114.7,66.6,71.8,82.8,19.3,6.4,5.9,6.2,10.1,13.2,23.2,12.4,10.9,6.5,10.4,12.5,
77233,Nitrogen Oxides,2020-01-08,10.4,5.1,3.4,6.6,3.8,5.8,3.5,6.4,5.3,3.9,3.8,4.2,3.9,4.3,4.9,4.3,6.5,9,14.2,11.2,15,24.8,39.1,47.1,
77233,Nitrogen Oxides,2020-01-09,39.3,53.7,54,53.2,46.1,41,20.1,12.3,15.4,10,20.2,11.3,8.5,9.8,17.3,15.3,12,13,10.2,12,6.1,22.4,28.8,32.3,
77233,Nitrogen Oxides,2020-01-10,22.1,18.6,12.2,10.2,10.6,9.4,10.1,13.6,13.7,11.8,9.8,9,6.8,5.5,7.2,9.1,7.8,14.2,24,25.1,17.6,38.3,35,51.7,
77233,Nitrogen Oxides,2020-01-11,54.8,52.4,22.5,11.5,7.2,5.9,5.1,5.5,7.6,6.7,8.3,5.6,4.6,4.7,4.3,5.2,4.1,4.6,5.9,4.2,3.9,3.5,3.3,4.6,
77233,Nitrogen Oxides,2020-01-12,4.2,4.4,4,4.7,5.5,4.6,6.5,5.1,5.3,7.5,8.7,8.8,7.5,6.2,6.7,5.4,6.7,10.9,9.9,8.1,10.8,15.5,13.9,11.6,
77233,Nitrogen Oxides,2020-01-13,14.6,7.5,5.9,9999,10.1,10.5,11.7,12,20.4,17,11.2,10.5,9.9,7.1,8,8.1,11.7,36.2,49.6,64.3,79.1,75,122.4,93.1,
77233,Nitrogen Oxides,2020-01-14,84.1,80.7,62.5,39.6,16.2,10.1,16.6,19.3,16.4,20.1,18.2,10.2,8.8,19.9,10.2,15.6,13.4,12.4,14.5,15.5,14.4,16.1,19.2,17.7,
77233,Nitrogen Oxides,2020-01-15,117.5,5.9,8.3,8,6.6,5.3,6.9,11,15.9,14.3,9999,9999,9999,9999,9999,10.8,19.1,12.6,18,16,23.2,20.1,12.5,7.8,
77233,Nitrogen Oxides,2020-01-16,7.9,7.1,6,12.2,4.1,7.4,6.1,11.4,6.9,7.6,8.7,6.1,4.8,5.8,6.1,6,7.4,9.5,10,9.7,12.9,7.5,10.2,12.4,
77233,Nitrogen Oxides,2020-01-17,8.6,15.6,19.9,16,19.1,29.1,34.3,38.2,53.5,20.2,13.2,9.2,13.4,10.9,10.4,8.6,21,41.3,46,73.3,48,34.2,25.3,24,
77233,Nitrogen Oxides,2020-01-18,10.9,11.3,10.9,11.5,9.1,5.9,9.9,7.5,6.4,5.9,7,7.7,5.5,5.1,4.4,7.6,7.8,6.9,5.5,6,6,6.5,6.2,8.2,
77233,Nitrogen Oxides,2020-01-19,8.6,6.6,6.3,8.2,7.2,6.7,6.8,7.8,8.7,5.8,5.9,6.5,8.5,7.6,8.1,7.9,8,7.4,7,9.7,6.1,5.9,11.1,14,
77233,Nitrogen Oxides,2020-01-20,9.8,11.4,18.6,9999,38.9,60.2,67.6,46.3,31.7,28.9,15.3,7.7,7.9,15.6,5.2,5.6,11.2,14.3,24,30.6,14.6,40.2,64.7,76.4,
77233,Nitrogen Oxides,2020-01-21,101.5,156.7,108.4,44.2,49,33.7,23.4,25.9,17.8,17.1,10.7,4.4,4.4,4,4,4.8,5.5,5.6,4.2,4.5,4.1,4.7,4.1,5.1,
77233,Nitrogen Oxides,2020-01-22,5.5,4.3,4.1,4.3,4.5,6.5,7.1,7.9,7.8,8,8.1,7.4,6.8,9,10.6,6.5,7.7,7.9,7.7,8,8.1,8.1,7.2,7,
77233,Nitrogen Oxides,2020-01-23,7.7,9.8,13.3,8.7,11,17.9,17.8,21.6,19.3,19.8,14.7,19.1,15.4,15.2,19.2,16,18,17.5,13.6,17.2,14.6,14,12.3,10.8,
77233,Nitrogen Oxides,2020-01-24,10.6,12,10.8,13.6,9.9,8.8,9.3,10.2,10.4,9.8,15.4,10.2,9.4,8.5,9.6,9.7,10.7,11.7,9.4,7.1,7.1,6.7,8.4,6.4,
77233,Nitrogen Oxides,2020-01-25,7.8,5.9,6.8,8.7,6.3,7,10,7,8.1,12.6,10.7,23.9,20.2,12.7,18,20.2,18.2,18.8,13.6,16.2,15.1,12.3,13.4,17.1,
77233,Nitrogen Oxides,2020-01-26,15.2,16.4,18.1,14,10.6,9.8,9,9.1,9,7.8,6.6,6.9,7,5.4,5.7,7.5,8.9,3.8,3.7,4,5,3.7,2.8,4.4,
77233,Nitrogen Oxides,2020-01-27,2.9,2.6,6.2,9999,3.8,4,4.3,9.7,10.4,4.8,5.3,4.3,4.2,4.1,3.5,3.9,4.9,4.2,4.2,3.7,3.8,3.1,6,3.5,
77233,Nitrogen Oxides,2020-01-28,3.8,4.3,5.4,9.2,4.9,6.1,7.3,13.9,20.3,12.6,6.3,5.2,5,6.2,5.2,4.8,5.2,5.7,6.1,6.8,5.2,5.5,6,5.3,
77233,Nitrogen Oxides,2020-01-29,7.6,5.5,5.1,6,8.4,7.5,7.3,11.9,10.9,11.1,6.7,5.8,4.9,4.7,6.2,6.3,7.9,11.7,18,18.8,8.5,7.5,10,8.7,
77233,Nitrogen Oxides,2020-01-30,9.9,10.9,13.4,17.6,16.1,13.7,17.6,28.9,23.1,29.6,19.3,35.4,15.2,8.6,19.4,30.7,23.1,20.2,23.4,17.6,21.7,16.8,26.8,40.7,
77233,Nitrogen Oxides,2020-01-31,50.2,64,47.9,50.7,64.4,49.1,44.3,19.1,18.3,24.3,24.6,18.6,12.9,29.7,43.5,32.8,35.9,52.8,26.6,20.3,22.9,11.1,16,12.7,
77233,Nitrogen Oxides,2020-02-01,13.7,19.6,8.4,5.6,6.4,6.3,11.6,14.3,12.4,9.4,9.6,9.2,8.4,8.3,8.1,7.2,7.5,7.4,8.8,7,7.7,9.9,7,6.9,
77233,Nitrogen Oxides,2020-02-02,10,5.8,6.6,8.3,9.4,16.8,31,23.3,21.1,19.7,18.6,9,6.5,6.8,7.4,8.3,7.6,13.7,11.4,8.9,10.1,8.2,7.7,7.7,
77233,Nitrogen Oxides,2020-02-03,6.6,5.4,5.6,9999,4.9,3.9,7.4,5.2,6.3,4.8,5.2,3.3,6.2,8.6,4.2,5,6.9,5.7,9,8.6,7.1,6.7,7,5.1,
77233,Nitrogen Oxides,2020-02-04,3.9,9.4,5.3,6.6,4.2,5.2,7.1,9,9.4,5.5,4.2,2.8,3.4,2.8,3.2,3.1,4,4.8,3.7,2.6,4.2,4,4.1,6.5,
77233,Nitrogen Oxides,2020-02-05,11.9,7.6,7.3,6.5,8.2,12.1,23.6,44.1,48.4,39.6,13.4,8.5,6.2,6.8,7,7.4,6.8,6.7,8.3,9.7,11.4,19.9,24.7,34.3,
77233,Nitrogen Oxides,2020-02-06,47,51.8,50.7,52.8,51.7,22.9,42,64,43.9,27,33.5,27.4,9.8,7.7,9.7,22.8,8.2,10.8,9.4,8.4,6.4,5,7.3,5.9,
77233,Nitrogen Oxides,2020-02-07,5.3,4.5,7,4.8,4.6,5.1,6.2,8.1,9,6.2,6.5,7.2,5,5,4.9,7,5.3,5.6,4.9,5.4,4.7,8.9,6.6,7.2,
77233,Nitrogen Oxides,2020-02-08,7.1,10.2,8,12.5,8.6,9.5,10.6,13.7,14,9,8.8,9.5,10.5,7.1,8.4,4.5,11.9,17.6,37.8,50.3,26.5,13.5,27.9,18.3,
77233,Nitrogen Oxides,2020-02-09,15,16.7,26.8,24.4,20.5,15.9,20.4,30.9,24.3,14.7,14.2,21.2,15.8,6.5,5,4.7,5.5,5.6,10.5,16.7,16.6,37.2,10.6,12.7,
77233,Nitrogen Oxides,2020-02-10,12.2,14,12.3,9999,11.9,12.2,10.3,19.3,18.7,10.6,9.8,6.5,6.3,5.5,8.9,6.5,10.2,14.3,18.3,9,8,7.2,3.7,3.3,
77233,Nitrogen Oxides,2020-02-11,11.5,12.5,23.7,24.8,14.9,9.6,13.7,16.5,17.7,10.7,7.6,7.4,5.6,5.5,5.1,5.7,6.1,7,6.6,6.4,5.2,4.8,5.2,7,
77233,Nitrogen Oxides,2020-02-12,7.5,10.6,13.1,9.8,15.7,19.1,9.2,6.6,7.4,6.9,5,3.9,4.2,5.1,4.8,5.1,5.4,6.2,5.4,5.4,6.5,8.2,4.3,3.9,
77233,Nitrogen Oxides,2020-02-13,6.3,4.9,4.1,3.9,5.9,5.3,6.1,10,12.7,9.4,7.4,8.1,5.1,5.2,4.9,6.2,5.8,7,9.3,12.1,10,8.2,9.6,-999,
77233,Nitrogen Oxides,2020-02-13,-999,-999,62.8,55.2,92.6,71,73.2,91.7,85.6,44.4,18,7.2,13.2,10.1,8.5,7.1,7.6,6.7,8.7,7,8.1,8.5,9.8,10.4,
77233,Nitrogen Oxides,2020-02-15,8.2,4.5,3.6,3.3,3.5,4.7,6.3,6.3,7.3,5.2,5.7,6.8,6.8,5.7,6.6,8,9.5,9.1,7,7.8,6.7,6.2,6.3,6.3,
