Sudbury, (77233) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Sudbury (77233)
Address,155 Elm St.
Latitude,46.492002
Longitude,-81.003099
Elevation, 271 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
77233,Fine Particulate Matter,2020-01-01,2,3,4,1,1,1,1,1,1,2,1,1,1,1,2,2,3,4,5,3,7,5,4,7,
77233,Fine Particulate Matter,2020-01-02,9,13,11,8,9,9,9,9,10,12,16,5,6,10,4,8,5,8,5,8,5,12,6,6,
77233,Fine Particulate Matter,2020-01-03,7,8,10,10,8,8,8,7,5,4,2,1,2,1,1,1,1,2,3,2,1,1,1,1,
77233,Fine Particulate Matter,2020-01-04,1,1,2,2,2,2,2,2,3,3,4,4,3,3,2,2,1,2,2,2,1,1,1,1,
77233,Fine Particulate Matter,2020-01-05,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,2,2,2,1,1,2,
77233,Fine Particulate Matter,2020-01-06,1,1,2,2,2,3,3,2,3,2,2,2,5,5,3,2,3,2,4,2,2,1,1,1,
77233,Fine Particulate Matter,2020-01-07,1,1,2,3,3,3,5,10,7,5,5,10,5,6,2,3,9,14,9,8,5,3,4,3,
77233,Fine Particulate Matter,2020-01-08,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,7,9,7,
77233,Fine Particulate Matter,2020-01-09,5,11,7,6,7,3,2,2,4,4,4,4,3,3,2,3,4,4,6,3,4,4,5,5,
77233,Fine Particulate Matter,2020-01-10,6,9,8,8,9,8,10,10,19,20,26,24,18,13,10,9,7,9,11,10,11,13,16,14,
77233,Fine Particulate Matter,2020-01-11,13,17,10,5,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,
77233,Fine Particulate Matter,2020-01-12,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,5,4,
