Date,Station ID,Latitude,Longitude,CO_subAQI,NO2_subAQI,O3_subAQI,PM2.5_subAQI,SO2_subAQI,AQI,date,MeanTemp,MeanPrecip,wx_n,TotalTraffic,tr_n
2022-04-26,12008,42.315778,-83.043667,1,14,28,21,0,28,2022-04-26,5.2,0,1,2182,45
2022-04-26,12016,42.292889,-83.073139,,11,27,23,7,27,2022-04-26,5.2,0,1,2562,46
2022-04-26,13001,42.403694,-82.208306,,5,27,10,,27,2022-04-26,,,,441,6
2022-04-26,14111,42.990263,-82.395341,,10,28,7,0,28,2022-04-26,4.05,1.8,2,1769,10
2022-04-26,15020,43.333084,-81.74289,,1,29,14,,29,2022-04-26,,,,311,3
2022-04-26,15026,42.974485,-81.200813,,5,27,14,,27,2022-04-26,4.25,1.5,2,2674,6
2022-04-26,16015,42.672127,-81.162948,,3,25,13,,25,2022-04-26,,,,,
2022-04-26,18007,44.314472,-81.549722,,,27,8,,27,2022-04-26,,,,,
2022-04-26,21005,43.138611,-80.292639,,4,28,23,,28,2022-04-26,5.1,0.3,1,474,14
2022-04-26,26060,43.443833,-80.503806,,5,27,7,,27,2022-04-26,,,,4643,5
2022-04-26,27067,43.160056,-79.23475,,7,28,28,,28,2022-04-26,6.7,,2,14212,28
2022-04-26,28028,43.551611,-80.264167,,4,29,17,,29,2022-04-26,4.3,0.9,1,2889,9
2022-04-26,29000,43.25778,-79.861664,1,5,26,23,0,26,2022-04-26,6.85,0.6,2,15627,21
2022-04-26,29118,43.257444,-79.90775,,6,26,21,,26,2022-04-26,6.85,0.6,2,3837,8
2022-04-26,29214,43.241324,-79.889328,,3,27,42,0,42,2022-04-26,6.366666666666667,0.5,3,6592,12
2022-04-26,31129,43.645451,-79.3891,,20,22,32,,32,2022-04-26,7.1,2.05,2,166665,299
2022-04-26,33003,43.747917,-79.274056,,12,22,19,,22,2022-04-26,,,,128821,120
2022-04-26,34021,43.78047,-79.467372,,18,23,26,0,26,2022-04-26,,,,103711,92
2022-04-26,35125,43.709444,-79.5435,2,28,19,30,0,30,2022-04-26,6.2,2.8,1,129972,112
2022-04-26,44008,43.314603,-79.80277,,10,22,17,,22,2022-04-26,6.85,0.6,2,32859,30
2022-04-26,44017,43.486917,-79.702278,,5,28,16,,28,2022-04-26,,,,39199,27
2022-04-26,44029,43.52965,-79.862449,,8,26,22,1,26,2022-04-26,,,,9229,16
2022-04-26,45027,43.952248,-78.91252,,5,27,24,,27,2022-04-26,6,0,1,8804,26
2022-04-26,46090,43.669911,-79.766589,,4,26,16,,26,2022-04-26,,,,37835,27
2022-04-26,46108,43.546174,-79.658797,,7,27,13,,27,2022-04-26,,,,63625,45
2022-04-26,47045,44.382338,-79.702446,,6,24,11,,24,2022-04-26,9.4,0,2,1475,3
2022-04-26,48006,44.044306,-79.48325,,3,27,7,,27,2022-04-26,,,,1899,3
2022-04-26,49005,45.338261,-80.039269,,1,29,18,,29,2022-04-26,2.5,0.2,1,108,3
2022-04-26,49010,45.224278,-78.932944,,,28,11,,28,2022-04-26,,,,,
2022-04-26,51001,45.434333,-75.676,,11,30,23,0,30,2022-04-26,10.4,2.2,1,16448,14
2022-04-26,52023,44.219953,-76.521143,,3,31,21,,31,2022-04-26,8.9,1.5,3,4967,25
2022-04-26,54012,44.150528,-77.3955,,6,31,17,,31,2022-04-26,9.5,1.5,2,0,5
